X_features	Y_features	association	p-values	q-values
g_Coprococcus	1_Methyladenosine	0.276619018	0.032391224	0.316445101
s_Enterocloster_bolteae	1_Methyladenosine	0.282386957	0.02881198	0.301468553
s_Enterocloster_clostridioformis	1_Methyladenosine	0.102009619	0.43800435	0.780175041
g_Faecalicatena	1_Methyladenosine	0.099754023	0.448252624	0.783796578
s_Faecalicatena_sp._Marseille.Q4148	1_Methyladenosine	0.099754023	0.448252624	0.783796578
s_.Clostridium._scindens	1_Methyladenosine	0.166261349	0.204219479	0.617493599
s_Lachnoclostridium_phocaeense	1_Methyladenosine	0.144695521	0.270006979	0.679741322
s_Lachnoclostridium_sp._YL32	1_Methyladenosine	0.205836584	0.114609047	0.510428084
g_Marvinbryantia	1_Methyladenosine	0.403346409	0.0013958	0.076125732
s_Marvinbryantia_formatexigens	1_Methyladenosine	0.403346409	0.0013958	0.076125732
g_Mediterraneibacter	1_Methyladenosine	0.184969015	0.157107752	0.567278748
s_.Ruminococcus._gnavus	1_Methyladenosine	-0.028593684	0.828308999	0.95018821
g_Roseburia	1_Methyladenosine	0.329581155	0.010125699	0.198774276
s_Roseburia_intestinalis	1_Methyladenosine	0.179543496	0.169856213	0.578202532
g_Simiaoa	1_Methyladenosine	0.110618551	0.400118564	0.764725064
.s_Simiaoa_sunii	1_Methyladenosine	0.110618551	0.400118564	0.764725064
g_Acutalibacter	1_Methyladenosine	0.14830874	0.258098849	0.67094499
s_Acutalibacter_muris	1_Methyladenosine	0.14830874	0.258098849	0.67094499
g_Anaerotruncus	1_Methyladenosine	0.13493887	0.303970867	0.704417247
s_Anaerotruncus_colihominis	1_Methyladenosine	0.13493887	0.303970867	0.704417247
g_Dysosmobacter	1_Methyladenosine	0.082631538	0.530219075	0.824641337
s_Dysosmobacter_welbionis	1_Methyladenosine	0.169778274	0.194675663	0.60686171
g_Faecalibacterium	1_Methyladenosine	0.285384743	0.027086689	0.29327287
s_Faecalibacterium_duncaniae	1_Methyladenosine	0.188754795	0.148640201	0.556592636
s_Faecalibacterium_prausnitzii	1_Methyladenosine	0.067984104	0.605768668	0.859456676
g_Oscillibacter	1_Methyladenosine	0.033764085	0.79786836	0.939513068
s_Oscillibacter_sp._NSJ-62	1_Methyladenosine	0.033764085	0.79786836	0.939513068
g_Vescimonas	1_Methyladenosine	0.012191167	0.926341083	0.977046577
g_Clostridioides	1_Methyladenosine	0.222296346	0.087801593	0.452871376
s_Clostridioides_difficile	1_Methyladenosine	0.225131334	0.083727817	0.444773381
g_Intestinimonas	1_Methyladenosine	0.411141345	0.001101233	0.065773725
s_Intestinimonas_butyriciproducens	1_Methyladenosine	0.411141345	0.001101233	0.065773725
g_Massilistercora	1_Methyladenosine	0.311527615	0.015395044	0.234511017
s_Massilistercora_timonensis	1_Methyladenosine	0.311527615	0.015395044	0.234511017
g_Erysipelatoclostridium	1_Methyladenosine	0.328409244	0.010412551	0.201241326
s_.Clostridium._innocuum	1_Methyladenosine	0.346864199	0.006624894	0.160740178
s_Erysipelatoclostridium_ramosum	1_Methyladenosine	0.299315004	0.020165607	0.255770852
g_Faecalibaculum	1_Methyladenosine	-0.00590201	0.96430224	0.990171064
s_Faecalibaculum_rodentium	1_Methyladenosine	-0.00590201	0.96430224	0.990171064
g_Longicatena	1_Methyladenosine	0.140903353	0.282893649	0.690111268
s_Longicatena_caecimuris	1_Methyladenosine	0.140903353	0.282893649	0.690111268
g_Turicimonas	1_Methyladenosine	-0.305495453	0.01761424	0.244878066
s_Turicimonas_muris	1_Methyladenosine	-0.305495453	0.01761424	0.244878066
g_Desulfovibrio	1_Methyladenosine	-0.253919418	0.050266094	0.375496464
g_Helicobacter	1_Methyladenosine	-0.075369145	0.567091002	0.841966875
s_Helicobacter_apodemus	1_Methyladenosine	0.021205914	0.872232846	0.963039459
s_Helicobacter_cinaedi	1_Methyladenosine	0.008638268	0.947771628	0.985007615
s_Helicobacter_hepaticus	1_Methyladenosine	0.186165032	0.154395053	0.563658772
s_Helicobacter_typhlonius	1_Methyladenosine	0.229837602	0.077295681	0.433524957
g_Akkermansia	1_Methyladenosine	-0.015084816	0.908924711	0.973493133
s_Akkermansia_muciniphila	1_Methyladenosine	-0.015084816	0.908924711	0.973493133
g_Bifidobacterium	2_Deoxycytidine	0.002294202	0.986119903	0.995163963
s_Bifidobacterium_pseudolongum	2_Deoxycytidine	-0.097472036	0.458754365	0.790004357
g_Curtobacterium	2_Deoxycytidine	0.01302278	0.921331866	0.975704475
s_Curtobacterium_flaccumfaciens	2_Deoxycytidine	0.01302278	0.921331866	0.975704475
g_Adlercreutzia	2_Deoxycytidine	-0.128817231	0.326632891	0.719734595
s_Adlercreutzia_equolifaciens	2_Deoxycytidine	-0.127055271	0.333348665	0.722823932
s_Adlercreutzia_hattorii	2_Deoxycytidine	0.018849605	0.886329964	0.966961478
s_Bacteroides_caccae	2_Deoxycytidine	-0.025900303	0.844269327	0.954902968
s_Bacteroides_caecimuris	2_Deoxycytidine	-0.147551456	0.260564774	0.672121021
s_Bacteroides_fragilis	2_Deoxycytidine	-0.197743733	0.129900661	0.532803924
s_Bacteroides_intestinalis	2_Deoxycytidine	0.075748166	0.565137459	0.840786065
s_Bacteroides_luhongzhouii	2_Deoxycytidine	-0.103490519	0.431347914	0.777261131
s_Bacteroides_ovatus	2_Deoxycytidine	-0.251482745	0.052589725	0.381826219
s_Bacteroides_sp._CBA7301	2_Deoxycytidine	-0.230474514	0.076456174	0.43144381
s_Bacteroides_thetaiotaomicron	2_Deoxycytidine	-0.329289116	0.010196533	0.199247884
s_Bacteroides_xylanisolvens	2_Deoxycytidine	-0.14347709	0.274104006	0.685478599
s_Bacteroides_zhangwenhongii	2_Deoxycytidine	-0.172696766	0.187001202	0.597793853
s_Phocaeicola_dorei	2_Deoxycytidine	-0.316774354	0.013664073	0.223640442
g_Duncaniella	2_Deoxycytidine	-0.230987274	0.075785587	0.429383198
s_Duncaniella_dubosii	2_Deoxycytidine	-0.175733841	0.179248514	0.588919162
g_Muribaculum	2_Deoxycytidine	-0.147663388	0.260199297	0.67173807
s_Muribaculum_gordoncarteri	2_Deoxycytidine	-0.214089241	0.100476169	0.482162611
s_Muribaculum_intestinale	2_Deoxycytidine	-0.053885632	0.682603304	0.895530357
g_Sodaliphilus	2_Deoxycytidine	0.056120575	0.670181067	0.8885408
s_Sodaliphilus_pleomorphus	2_Deoxycytidine	0.056120575	0.670181067	0.8885408
g_Odoribacter	2_Deoxycytidine	0.056703839	0.666953414	0.886603965
s_Odoribacter_splanchnicus	2_Deoxycytidine	0.056703839	0.666953414	0.886603965
g_Prevotella	2_Deoxycytidine	-0.132881336	0.311471431	0.710078453
s_Alistipes_communis	2_Deoxycytidine	0.16309428	0.21309349	0.626730612
s_Alistipes_dispar	2_Deoxycytidine	0.165814888	0.205454335	0.619077391
s_Alistipes_finegoldii	2_Deoxycytidine	0.091395721	0.487361514	0.802081191
s_Alistipes_onderdonkii	2_Deoxycytidine	0.220605217	0.090304829	0.458245861
s_Alistipes_senegalensis	2_Deoxycytidine	-0.161143791	0.218691707	0.632126783
s_Alistipes_shahii	2_Deoxycytidine	0.117928099	0.369511767	0.748904603
s_Parabacteroides_goldsteinii	2_Deoxycytidine	0.091235199	0.488129744	0.802509408
s_Parabacteroides_johnsonii	2_Deoxycytidine	0.009900283	0.940154345	0.981572552
s_Parabacteroides_merdae	2_Deoxycytidine	-0.08063263	0.54024831	0.82988915
g_Mucispirillum	2_Deoxycytidine	0.127370759	0.332139838	0.721572936
s_Mucispirillum_schaedleri	2_Deoxycytidine	0.127370759	0.332139838	0.721572936
g_Staphylococcus	2_Deoxycytidine	0.07640953	0.561736241	0.839690179
g_Enterococcus	2_Deoxycytidine	-0.137748887	0.293917558	0.698355176
s_Enterococcus_faecalis	2_Deoxycytidine	-0.115807091	0.378243362	0.754532312
s_Enterococcus_faecium	2_Deoxycytidine	0.057989839	0.659858209	0.8842548
g_Lactobacillus	2_Deoxycytidine	0.155900737	0.23424757	0.647571245
s_Lactobacillus_intestinalis	2_Deoxycytidine	0.08736052	0.506864737	0.813682868
s_Lactobacillus_johnsonii	2_Deoxycytidine	0.065672107	0.618109261	0.866029551
s_Lactobacillus_taiwanensis	2_Deoxycytidine	0.04259991	0.74655678	0.923236236
g_Ligilactobacillus	2_Deoxycytidine	0.041533263	0.752698136	0.925567073
s_Ligilactobacillus_murinus	2_Deoxycytidine	0.029678829	0.821897769	0.948357272
g_Limosilactobacillus	2_Deoxycytidine	0.20918505	0.108701495	0.499479205
s_Limosilactobacillus_reuteri	2_Deoxycytidine	0.202574107	0.120598521	0.52208128
g_Candidatus_Arthromitus	2_Deoxycytidine	-0.158371425	0.226824637	0.640487452
g_Clostridium	2_Deoxycytidine	-0.08129863	0.536896511	0.828188616
s_Clostridium_sp._MD294	2_Deoxycytidine	-0.0801303	0.542783124	0.830832399
g_Hungatella	2_Deoxycytidine	0.188402859	0.149412751	0.557554144
s_Hungatella_hathewayi	2_Deoxycytidine	0.188402859	0.149412751	0.557554144
g_Eubacterium	2_Deoxycytidine	0.056224449	0.669605816	0.888275736
g_Blautia	2_Deoxycytidine	0.069060626	0.60005949	0.856585772
s_Blautia_producta	2_Deoxycytidine	0.026722647	0.839389396	0.953575011
s_Blautia_pseudococcoides	2_Deoxycytidine	-0.045963789	0.72729289	0.915601536
s_Blautia_wexlerae	2_Deoxycytidine	0.177842544	0.174004328	0.58423723
g_Coprococcus	2_Deoxycytidine	0.187360277	0.151718882	0.560082887
s_Enterocloster_bolteae	2_Deoxycytidine	0.089064983	0.498578195	0.809972813
s_Enterocloster_clostridioformis	2_Deoxycytidine	0.116228355	0.376499362	0.753734598
g_Faecalicatena	2_Deoxycytidine	-0.112319472	0.392867134	0.762041956
s_Faecalicatena_sp._Marseille.Q4148	2_Deoxycytidine	-0.112319472	0.392867134	0.762041956
s_.Clostridium._scindens	2_Deoxycytidine	-0.00966009	0.941603716	0.982188108
s_Lachnoclostridium_phocaeense	2_Deoxycytidine	-0.052390328	0.690961738	0.898810044
s_Lachnoclostridium_sp._YL32	2_Deoxycytidine	0.090074097	0.49370549	0.806704916
g_Marvinbryantia	2_Deoxycytidine	0.123773398	0.346087122	0.733038527
s_Marvinbryantia_formatexigens	2_Deoxycytidine	0.123773398	0.346087122	0.733038527
g_Mediterraneibacter	2_Deoxycytidine	-0.031873039	0.80896973	0.94384083
s_.Ruminococcus._gnavus	2_Deoxycytidine	-0.0200479	0.879156253	0.965260371
g_Roseburia	2_Deoxycytidine	0.178657147	0.172008654	0.581562819
s_Roseburia_intestinalis	2_Deoxycytidine	0.125546559	0.339167624	0.728139427
g_Simiaoa	2_Deoxycytidine	0.063260763	0.631092841	0.87185337
.s_Simiaoa_sunii	2_Deoxycytidine	0.063260763	0.631092841	0.87185337
g_Acutalibacter	2_Deoxycytidine	0.095049193	0.470049755	0.793794309
s_Acutalibacter_muris	2_Deoxycytidine	0.095049193	0.470049755	0.793794309
g_Anaerotruncus	2_Deoxycytidine	-0.144821439	0.26958592	0.679053369
s_Anaerotruncus_colihominis	2_Deoxycytidine	-0.144821439	0.26958592	0.679053369
g_Dysosmobacter	2_Deoxycytidine	-0.089834382	0.49486075	0.807431483
s_Dysosmobacter_welbionis	2_Deoxycytidine	-0.129200606	0.325183067	0.719443318
g_Faecalibacterium	2_Deoxycytidine	0.10677391	0.416795082	0.771500844
s_Faecalibacterium_duncaniae	2_Deoxycytidine	0.039379859	0.765142827	0.930307741
s_Faecalibacterium_prausnitzii	2_Deoxycytidine	0.073904986	0.574666975	0.845548654
g_Oscillibacter	2_Deoxycytidine	-0.084302628	0.52190591	0.821231389
s_Oscillibacter_sp._NSJ-62	2_Deoxycytidine	-0.084302628	0.52190591	0.821231389
g_Vescimonas	2_Deoxycytidine	0.020268955	0.877833924	0.965260371
g_Clostridioides	2_Deoxycytidine	0.16432354	0.209617502	0.623385953
s_Clostridioides_difficile	2_Deoxycytidine	0.182703612	0.162342098	0.571805675
g_Intestinimonas	2_Deoxycytidine	0.011705942	0.929265157	0.978075359
s_Intestinimonas_butyriciproducens	2_Deoxycytidine	0.011705942	0.929265157	0.978075359
g_Massilistercora	2_Deoxycytidine	0.182764011	0.162200901	0.571805675
s_Massilistercora_timonensis	2_Deoxycytidine	0.182764011	0.162200901	0.571805675
g_Erysipelatoclostridium	2_Deoxycytidine	0.085003089	0.518440853	0.819302758
s_.Clostridium._innocuum	2_Deoxycytidine	0.065910876	0.616829851	0.865117559
s_Erysipelatoclostridium_ramosum	2_Deoxycytidine	0.02237168	0.865272713	0.959849745
g_Faecalibaculum	2_Deoxycytidine	0.036792015	0.780176401	0.935830322
s_Faecalibaculum_rodentium	2_Deoxycytidine	0.036792015	0.780176401	0.935830322
g_Longicatena	2_Deoxycytidine	-0.004954832	0.970028284	0.991038997
s_Longicatena_caecimuris	2_Deoxycytidine	-0.004954832	0.970028284	0.991038997
g_Turicimonas	2_Deoxycytidine	-0.119574698	0.362818066	0.744609239
s_Turicimonas_muris	2_Deoxycytidine	-0.119574698	0.362818066	0.744609239
g_Desulfovibrio	2_Deoxycytidine	-0.145802552	0.266320185	0.676670123
g_Helicobacter	2_Deoxycytidine	-0.155667735	0.23495615	0.648325989
s_Helicobacter_apodemus	2_Deoxycytidine	0.032383212	0.805970977	0.943370341
s_Helicobacter_cinaedi	2_Deoxycytidine	-0.152142409	0.245857552	0.658525443
s_Helicobacter_hepaticus	2_Deoxycytidine	-0.051624096	0.695259154	0.901522723
s_Helicobacter_typhlonius	2_Deoxycytidine	-0.021334448	0.871464962	0.962580069
g_Akkermansia	2_Deoxycytidine	0.142544496	0.277267698	0.687479577
s_Akkermansia_muciniphila	2_Deoxycytidine	0.142544496	0.277267698	0.687479577
g_Bifidobacterium	3_4_Hydroxyphenylpropionic_acid	-0.244546341	0.059686531	0.391583602
s_Bifidobacterium_pseudolongum	3_4_Hydroxyphenylpropionic_acid	-0.066812259	0.612010144	0.86378064
g_Curtobacterium	3_4_Hydroxyphenylpropionic_acid	0.165411654	0.206574165	0.620465733
s_Curtobacterium_flaccumfaciens	3_4_Hydroxyphenylpropionic_acid	0.165411654	0.206574165	0.620465733
g_Adlercreutzia	3_4_Hydroxyphenylpropionic_acid	-0.062796966	0.633603028	0.872954019
s_Adlercreutzia_equolifaciens	3_4_Hydroxyphenylpropionic_acid	-0.033109549	0.801706425	0.941315198
s_Adlercreutzia_hattorii	3_4_Hydroxyphenylpropionic_acid	-0.070820353	0.590778478	0.854163811
s_Bacteroides_caccae	3_4_Hydroxyphenylpropionic_acid	-0.202955339	0.119886566	0.521087
s_Bacteroides_caecimuris	3_4_Hydroxyphenylpropionic_acid	-0.120618514	0.358613325	0.742514236
s_Bacteroides_fragilis	3_4_Hydroxyphenylpropionic_acid	-0.006325111	0.961744999	0.989120789
s_Bacteroides_intestinalis	3_4_Hydroxyphenylpropionic_acid	0.069446944	0.598016506	0.856140072
s_Bacteroides_luhongzhouii	3_4_Hydroxyphenylpropionic_acid	0.176719044	0.176784323	0.586129609
s_Bacteroides_ovatus	3_4_Hydroxyphenylpropionic_acid	-0.072870816	0.580046002	0.84783233
s_Bacteroides_sp._CBA7301	3_4_Hydroxyphenylpropionic_acid	-0.070963709	0.590025246	0.854096021
s_Bacteroides_thetaiotaomicron	3_4_Hydroxyphenylpropionic_acid	-0.19406487	0.13734162	0.541820284
s_Bacteroides_xylanisolvens	3_4_Hydroxyphenylpropionic_acid	0.066330298	0.61458518	0.86491627
s_Bacteroides_zhangwenhongii	3_4_Hydroxyphenylpropionic_acid	0.273079508	0.034765941	0.324693898
s_Phocaeicola_dorei	3_4_Hydroxyphenylpropionic_acid	0.107824583	0.412198501	0.768304613
g_Duncaniella	3_4_Hydroxyphenylpropionic_acid	-0.181247308	0.165773963	0.573938186
s_Duncaniella_dubosii	3_4_Hydroxyphenylpropionic_acid	-0.176301421	0.177825862	0.587348818
g_Muribaculum	3_4_Hydroxyphenylpropionic_acid	-0.253570436	0.050593651	0.376868621
s_Muribaculum_gordoncarteri	3_4_Hydroxyphenylpropionic_acid	-0.218591534	0.093358069	0.464435159
s_Muribaculum_intestinale	3_4_Hydroxyphenylpropionic_acid	-0.308451076	0.016494947	0.240876153
g_Sodaliphilus	3_4_Hydroxyphenylpropionic_acid	-0.325137296	0.011251008	0.20724323
s_Sodaliphilus_pleomorphus	3_4_Hydroxyphenylpropionic_acid	-0.325137296	0.011251008	0.20724323
g_Odoribacter	3_4_Hydroxyphenylpropionic_acid	-0.03207524	0.807780882	0.943695242
s_Odoribacter_splanchnicus	3_4_Hydroxyphenylpropionic_acid	-0.03207524	0.807780882	0.943695242
g_Prevotella	3_4_Hydroxyphenylpropionic_acid	-0.256234771	0.048136465	0.36967389
s_Alistipes_communis	3_4_Hydroxyphenylpropionic_acid	-0.205539042	0.115145661	0.51074511
s_Alistipes_dispar	3_4_Hydroxyphenylpropionic_acid	-0.106000106	0.420199133	0.773529376
s_Alistipes_finegoldii	3_4_Hydroxyphenylpropionic_acid	0.206659384	0.113135113	0.506302841
s_Alistipes_onderdonkii	3_4_Hydroxyphenylpropionic_acid	-0.025306937	0.847794092	0.956274534
s_Alistipes_senegalensis	3_4_Hydroxyphenylpropionic_acid	-0.1145521	0.383467573	0.756763241
s_Alistipes_shahii	3_4_Hydroxyphenylpropionic_acid	0.109935975	0.403050433	0.76653676
s_Parabacteroides_goldsteinii	3_4_Hydroxyphenylpropionic_acid	-0.304490943	0.018009121	0.244878066
s_Parabacteroides_johnsonii	3_4_Hydroxyphenylpropionic_acid	-0.199550549	0.126359674	0.530473812
s_Parabacteroides_merdae	3_4_Hydroxyphenylpropionic_acid	-0.227000553	0.081124377	0.440056101
g_Mucispirillum	3_4_Hydroxyphenylpropionic_acid	0.195934669	0.133520696	0.536649665
s_Mucispirillum_schaedleri	3_4_Hydroxyphenylpropionic_acid	0.195934669	0.133520696	0.536649665
g_Staphylococcus	3_4_Hydroxyphenylpropionic_acid	-0.071619141	0.586586912	0.851538737
g_Enterococcus	3_4_Hydroxyphenylpropionic_acid	0.164353492	0.20953331	0.623385953
s_Enterococcus_faecalis	3_4_Hydroxyphenylpropionic_acid	0.138734909	0.29044198	0.695030065
s_Enterococcus_faecium	3_4_Hydroxyphenylpropionic_acid	0.238739615	0.066205386	0.405904382
g_Lactobacillus	3_4_Hydroxyphenylpropionic_acid	0.102724406	0.434784329	0.778466262
s_Lactobacillus_intestinalis	3_4_Hydroxyphenylpropionic_acid	0.071985516	0.584668894	0.850427482
s_Lactobacillus_johnsonii	3_4_Hydroxyphenylpropionic_acid	0.090153464	0.493323306	0.806601609
s_Lactobacillus_taiwanensis	3_4_Hydroxyphenylpropionic_acid	0.031997801	0.808236133	0.943695242
g_Ligilactobacillus	3_4_Hydroxyphenylpropionic_acid	-0.07132735	0.588116502	0.852476705
s_Ligilactobacillus_murinus	3_4_Hydroxyphenylpropionic_acid	-0.077162466	0.557875863	0.837766655
g_Limosilactobacillus	3_4_Hydroxyphenylpropionic_acid	0.017338149	0.895391328	0.970432765
s_Limosilactobacillus_reuteri	3_4_Hydroxyphenylpropionic_acid	0.01344818	0.91877063	0.975457666
g_Candidatus_Arthromitus	3_4_Hydroxyphenylpropionic_acid	0.131754883	0.315627732	0.712813344
g_Clostridium	3_4_Hydroxyphenylpropionic_acid	0.01308715	0.920944252	0.9757031
s_Clostridium_sp._MD294	3_4_Hydroxyphenylpropionic_acid	0.020478195	0.876582573	0.965056328
g_Hungatella	3_4_Hydroxyphenylpropionic_acid	0.179277001	0.170501299	0.57898438
s_Hungatella_hathewayi	3_4_Hydroxyphenylpropionic_acid	0.179277001	0.170501299	0.57898438
g_Eubacterium	3_4_Hydroxyphenylpropionic_acid	0.218627543	0.093302771	0.464435159
g_Blautia	3_4_Hydroxyphenylpropionic_acid	0.113923699	0.386099535	0.757425597
s_Blautia_producta	3_4_Hydroxyphenylpropionic_acid	0.240751561	0.063884943	0.399576253
s_Blautia_pseudococcoides	3_4_Hydroxyphenylpropionic_acid	0.06977035	0.596308593	0.855937296
s_Blautia_wexlerae	3_4_Hydroxyphenylpropionic_acid	0.103092358	0.433131955	0.777930461
g_Coprococcus	3_4_Hydroxyphenylpropionic_acid	0.249303111	0.054741637	0.383004663
s_Enterocloster_bolteae	3_4_Hydroxyphenylpropionic_acid	0.346772625	0.00664021	0.160800773
s_Enterocloster_clostridioformis	3_4_Hydroxyphenylpropionic_acid	-0.018173229	0.890383203	0.968469891
g_Faecalicatena	3_4_Hydroxyphenylpropionic_acid	-0.038262223	0.771625306	0.933111383
s_Faecalicatena_sp._Marseille.Q4148	3_4_Hydroxyphenylpropionic_acid	-0.038262223	0.771625306	0.933111383
s_.Clostridium._scindens	3_4_Hydroxyphenylpropionic_acid	0.26416038	0.041398369	0.349888085
s_Lachnoclostridium_phocaeense	3_4_Hydroxyphenylpropionic_acid	0.143265998	0.274817993	0.685760276
s_Lachnoclostridium_sp._YL32	3_4_Hydroxyphenylpropionic_acid	0.209058072	0.108921152	0.499929356
g_Marvinbryantia	3_4_Hydroxyphenylpropionic_acid	0.070354831	0.593227438	0.855254554
s_Marvinbryantia_formatexigens	3_4_Hydroxyphenylpropionic_acid	0.070354831	0.593227438	0.855254554
g_Mediterraneibacter	3_4_Hydroxyphenylpropionic_acid	0.300036122	0.019852603	0.253950803
s_.Ruminococcus._gnavus	3_4_Hydroxyphenylpropionic_acid	0.181524998	0.165115504	0.573938186
g_Roseburia	3_4_Hydroxyphenylpropionic_acid	0.132707216	0.312111578	0.710495966
s_Roseburia_intestinalis	3_4_Hydroxyphenylpropionic_acid	0.10867451	0.40850168	0.768299953
g_Simiaoa	3_4_Hydroxyphenylpropionic_acid	0.375026049	0.003153061	0.111750145
.s_Simiaoa_sunii	3_4_Hydroxyphenylpropionic_acid	0.375026049	0.003153061	0.111750145
g_Acutalibacter	3_4_Hydroxyphenylpropionic_acid	0.173886465	0.183936041	0.594230794
s_Acutalibacter_muris	3_4_Hydroxyphenylpropionic_acid	0.173886465	0.183936041	0.594230794
g_Anaerotruncus	3_4_Hydroxyphenylpropionic_acid	0.178386689	0.172669383	0.581676119
s_Anaerotruncus_colihominis	3_4_Hydroxyphenylpropionic_acid	0.178386689	0.172669383	0.581676119
g_Dysosmobacter	3_4_Hydroxyphenylpropionic_acid	0.148628748	0.257061569	0.670669783
s_Dysosmobacter_welbionis	3_4_Hydroxyphenylpropionic_acid	0.07382345	0.575090234	0.845548654
g_Faecalibacterium	3_4_Hydroxyphenylpropionic_acid	0.254602037	0.049630387	0.374201001
