feature	SF1	SF2	SF3	SF4	SF5	SF6	SF7	SF8	SF9	SF10	SF11	SF12	SF13	SF14	SF15	SF16	SF17	SF18	SF19	SF20	SF21	SF22	SF23	SF24	SF25	SF26	SF27	SF34	SF35	SF36	SF37	
PWY.6948._sitosterol_degradation_to_androstenedione	4.67976E-07	8.13589E-08	0	1.36271E-06	0	8.45387E-07	0	5.11196E-07	0	0	7.87205E-07	0	5.34425E-07	0	2.70715E-07	0	6.06342E-07	6.98381E-07	6.79158E-07	2.03281E-07	0	3.90669E-06	2.90753E-07	4.8347E-07	0	4.51328E-07	0	9.27024E-07	0	0	2.67606E-06	
PWY.7118._chitin_deacetylation	1.9146E-07	0.000309762	0.000331413	5.74437E-06	0.000282402	2.18449E-06	9.93829E-06	1.07242E-06	0.00036738	0.000440802	6.83076E-07	0.000370791	4.69864E-07	0.000036596	3.17509E-05	1.33623E-05	1.26966E-05	6.67221E-07	2.01499E-05	0.000197994	8.04017E-05	0	0.000352828	2.22321E-05	0.000133595	4.03522E-05	0.000388637	6.6873E-07	9.03241E-06	2.44358E-06	4.41851E-07	
PWY.7315._dTDP.N.acetylthomosamine_biosynthesis	0	0.000246069	0.000249615	1.8857E-06	0.000212658	0	0	1.57066E-06	0.000305514	0.000308061	0	0.000235304	1.53732E-06	0.000111938	3.02082E-05	1.2058E-06	8.43152E-06	3.64848E-07	0.000030846	0.00010832	0.000053965	0	0.000282922	1.42772E-05	0.000131533	4.16735E-05	0.000273386	0	0.00023866	0	1.27083E-06	
ORNDEG.PWY._superpathway_of_ornithine_degradation	3.82927E-07	0.000294402	0.000333614	4.96177E-06	0.000360167	0	1.45484E-06	8.10593E-07	0.000395753	0.000389034	0	0.000544986	7.41659E-07	3.94961E-05	3.70041E-05	3.34041E-06	1.96661E-05	8.2888E-07	0.000022339	0.000187887	6.56745E-05	0	0.000347014	3.80266E-05	0.000234008	6.30283E-05	0.000430229	0	3.11348E-06	0	6.78334E-07	
PWY.5189._tetrapyrrole_biosynthesis_II_.from_glycine.	2.45764E-07	0.000182259	0.000184713	1.48715E-05	0.000230332	3.06543E-05	0.000158929	2.2852E-06	0.000253005	0.000278092	6.80691E-07	0.000346771	1.14839E-06	9.73793E-05	1.31324E-05	0.00014715	1.23424E-05	5.70977E-07	2.26519E-05	0.000112064	0.000037742	0	0.000300498	0.000027481	0.000352822	9.76542E-05	0.000202344	6.10966E-07	1.32062E-05	2.57251E-05	5.23232E-07	
PWY.6507._4.deoxy.L.threo.hex.4.enopyranuronate_degradation	2.39001E-06	0.000032142	3.73417E-05	6.04489E-06	0.000100118	2.00406E-06	1.02359E-05	8.84165E-07	8.60145E-07	5.87745E-07	0	0.000130992	9.57576E-07	6.13726E-05	2.18804E-05	4.25364E-06	0.000026821	2.0249E-07	2.20971E-05	0.000103854	7.84098E-05	0	0.000224407	2.76391E-05	0.000123302	0.000052257	0.000039314	0	0.000235744	5.2306E-06	8.30588E-07	
GLYOXYLATE.BYPASS._glyoxylate_cycle	6.57147E-07	0.000336778	0.000347511	3.74623E-06	0.000260013	1.6169E-06	7.85446E-06	1.56301E-06	0.000467853	0.000446708	6.07816E-07	0.000519585	3.94495E-07	6.01311E-05	0.000033001	0.000022162	1.67576E-05	9.04161E-07	2.69907E-05	0.000143524	7.66902E-05	0	0.0003139	1.38019E-05	0.000137677	5.03624E-05	0.00034393	5.30809E-07	8.00384E-06	2.57837E-06	1.24258E-06	
PWY.821._superpathway_of_sulfur_amino_acid_biosynthesis_.Saccharomyces_cerevisiae.	0	7.68222E-06	1.29428E-06	1.31154E-05	0.000036399	1.72801E-06	5.64328E-06	1.6085E-06	3.69987E-05	2.33889E-06	9.98712E-07	0	1.06592E-06	5.36855E-05	9.29565E-06	4.39519E-05	2.36898E-05	0	9.75977E-06	8.01001E-05	0.000116367	0	0	4.53799E-06	9.31228E-05	6.88674E-05	4.65355E-05	1.20851E-06	0	5.80175E-06	0	
PWY.5913._partial_TCA_cycle_.obligate_autotrophs.	4.13716E-07	0.000490569	0.000516327	1.09253E-05	0.000384305	4.07477E-06	1.78452E-05	1.71489E-06	0.000493599	0.000531352	2.84464E-06	0.000547578	1.14314E-06	5.64118E-05	4.47694E-05	7.66301E-05	2.07113E-05	7.80484E-07	3.37231E-05	0.000210807	9.38122E-05	0	0.000362037	3.80173E-05	0.000264448	8.07526E-05	0.000497128	1.99772E-06	7.94013E-05	0.000133226	1.21316E-06	
PWY.6895._superpathway_of_thiamine_diphosphate_biosynthesis_II	0	0.000236789	0.000251936	1.32165E-05	0.000216865	1.90265E-05	0.000123461	2.90098E-06	0.000248605	0.000209626	0	0.000327733	0	0.00011631	3.04523E-05	2.87042E-05	0.000064295	8.29154E-07	2.78899E-05	0.000180526	0.000150343	0	0.000244684	3.68495E-05	0.000189371	8.98955E-05	0.000232853	0	0.000125638	1.05816E-05	0	
PWY.7242._D.fructuronate_degradation	2.40326E-06	3.69472E-05	4.26181E-05	3.19271E-06	0.000103973	2.16151E-06	1.10809E-05	1.0048E-06	1.29709E-06	8.00961E-07	0	0.000136531	3.59531E-07	6.10844E-05	3.00051E-05	2.08977E-06	2.58309E-05	2.04992E-07	2.01363E-05	0.000106516	4.64291E-05	0	0.000270693	2.06831E-05	0.000128886	5.03523E-05	2.77673E-05	0	0.000241996	9.81586E-06	8.30683E-07	
GALACTARDEG.PWY._D.galactarate_degradation_I	2.41078E-07	0.000341815	0.000371859	3.31123E-06	0.000369398	0	6.07592E-07	2.33682E-07	0.000373562	0.000344931	0	0.000519413	8.46128E-07	6.85634E-05	4.48156E-05	2.70261E-06	2.06415E-05	1.11757E-06	2.84353E-05	0.000171096	5.42067E-05	0	0.000143864	1.92965E-05	0.000295187	0.000087067	0.00035528	0	1.43797E-06	0	1.21154E-06	
GLUCARGALACTSUPER.PWY._superpathway_of_D.glucarate_and_D.galactarate_degradation	2.41078E-07	0.000341815	0.000371859	3.31123E-06	0.000369398	0	6.07592E-07	2.33682E-07	0.000373562	0.000344931	0	0.000519413	8.46128E-07	6.85634E-05	4.48156E-05	2.70261E-06	2.06415E-05	1.11757E-06	2.84353E-05	0.000171096	5.42067E-05	0	0.000143864	1.92965E-05	0.000295187	0.000087067	0.00035528	0	1.43797E-06	0	1.21154E-06	
ECASYN.PWY._enterobacterial_common_antigen_biosynthesis	0	0.00017454	0.000177778	1.88854E-06	0.000135794	0	0	1.04776E-06	0.000143484	0.000156751	0	8.41264E-05	0	1.75559E-05	3.47926E-05	7.49021E-07	4.11796E-06	0	0.000030846	7.21278E-05	3.78999E-05	0	0.000282231	6.6337E-06	4.38052E-05	1.19605E-05	0.000183677	0	0.00020383	0	9.83552E-07	
PWY.6293._superpathway_of_L.cysteine_biosynthesis_.fungi.	0	5.20046E-06	9.1698E-07	2.59149E-06	2.39661E-05	0	0	1.55523E-07	1.55639E-05	8.97106E-07	0	0	0	2.01168E-05	0	7.34259E-07	8.50182E-06	0	7.79823E-07	3.41177E-05	3.06587E-05	0	0	3.52701E-06	2.73481E-05	8.73148E-06	2.13081E-05	0	3.06452E-06	6.01811E-06	0	
PWY.6557._glycosaminoglycan.protein_linkage_region_biosynthesis	5.61997E-07	0	0	2.65999E-07	0	4.06514E-07	0	3.05614E-07	0	0	6.62101E-07	0	6.70714E-07	0	2.72364E-07	0	0	3.60659E-07	2.52662E-07	1.67049E-07	0	4.78073E-06	0	2.39261E-07	0	3.49589E-07	0	4.7232E-07	0	0	2.07316E-06	
PWY0.1061._superpathway_of_L.alanine_biosynthesis	0	0.000235367	0.000249778	5.06092E-06	0.000177995	1.55984E-06	1.21471E-05	2.09678E-06	0.000208004	0.000218433	6.59808E-06	0.000257566	0	3.44702E-05	7.09837E-05	0.000225021	9.49916E-06	8.7752E-07	4.15633E-05	0.000112007	5.19273E-05	0	0.000393691	0.000013496	0.00013682	3.86522E-05	0.000238333	3.43179E-06	0.000102849	0.000153984	1.69114E-06	
PWY.6478._GDP.D.glycero..alpha..D.manno.heptose_biosynthesis	0	0	0	1.18875E-06	0	3.02962E-07	2.44184E-06	6.33331E-07	0	0	0	0	1.00438E-06	4.86327E-05	0	3.37039E-07	1.51154E-06	0	1.31468E-06	9.49611E-07	5.21983E-05	0	0	0	2.39086E-06	8.04001E-06	2.93423E-06	0	0	0	0	
PWY.5920._superpathway_of_heme_b_biosynthesis_from_glycine	2.71473E-07	0.000139053	0.000138602	4.7054E-06	0.000174875	1.23899E-06	7.04578E-07	1.46533E-06	0.000163638	0.000181491	0	0.000250829	7.55919E-07	7.85796E-05	1.90016E-05	7.26796E-05	6.66753E-06	5.05333E-07	2.65817E-05	9.30696E-05	0.000044321	0	0.000294409	9.89592E-07	0.000230371	7.81307E-05	0.00014939	6.83829E-07	2.47717E-05	1.25628E-05	4.75094E-07	
PWY.6358._superpathway_of_D.myo.inositol_.1.4.5..trisphosphate_metabolism	3.98498E-07	0	0	0	0	3.20831E-07	0	0	0	0	5.23584E-07	0	3.41593E-07	0	2.42274E-07	0	0	2.82134E-07	1.20963E-07	7.5705E-08	0	3.0406E-06	0	2.79036E-07	0	1.68735E-07	0	2.89704E-07	0	0	1.36907E-06	
PWY.6608._guanosine_nucleotides_degradation_III	4.98237E-06	0.000409762	0.000423013	2.16914E-05	0.000360561	6.93603E-05	0.000366726	3.7972E-06	0.000415123	0.000428002	2.01758E-06	0.000708368	2.04238E-06	0.000122253	2.81631E-06	6.82477E-05	6.54991E-05	2.34008E-06	3.0492E-06	0.000217752	0.000125711	0	0.000753758	9.90535E-05	0.00038012	0.00011846	0.00044927	3.80337E-07	0.000265956	0.000054836	0	
PWY66.374._C20_prostanoid_biosynthesis	0	0	0	0	0	2.51139E-07	0	0	0	0	3.07566E-07	0	1.23899E-07	0	0	0	0	0	1.7083E-07	0	0	1.33525E-06	0	9.29147E-08	0	0	0	4.11803E-07	0	0	1.07353E-06	
PWY.7511._protein_ubiquitination	1.68525E-07	0	0	3.94456E-07	0	3.14274E-07	0	3.90032E-07	1.36404E-08	0	3.42957E-07	0	3.70356E-07	0	8.10484E-08	0	1.47063E-07	1.79926E-07	3.26836E-07	1.15039E-07	0	3.84433E-06	0	8.86959E-08	0	8.50403E-08	0	1.18028E-07	0	0	1.44338E-06	
PWY0.845._superpathway_of_pyridoxal_5..phosphate_biosynthesis_and_salvage	8.09969E-06	0.000274094	0.000294649	1.86879E-05	0.000249776	2.22258E-05	0.000104031	3.34209E-06	0.000258002	0.000299031	0	0.000279629	3.8681E-06	0.00028485	3.87097E-05	9.81129E-05	3.66134E-05	0	0.000029459	0.000138773	0.000258216	0	0.00029898	1.65458E-05	0.000206373	0.000115453	0.000312088	0	0.000189977	5.80239E-06	0	
FERMENTATION.PWY._mixed_acid_fermentation	1.87874E-06	0.000466867	0.000503306	1.15872E-05	0.000342103	8.62366E-06	3.49135E-05	0.000002911	0.00042658	0.00047349	8.01701E-06	0.000507346	2.04649E-06	0.000153052	4.15622E-05	0.000251357	3.68545E-05	1.53761E-06	3.68414E-05	0.000160729	0.00011583	0	0.000404312	1.68336E-05	0.000223613	9.08682E-05	0.000440685	3.7245E-06	0.000241266	0.000118832	2.59237E-06	
P161.PWY._acetylene_degradation_.anaerobic.	3.63632E-07	0.00041574	0.000462176	6.80474E-06	0.000324166	2.34189E-05	0.000129683	2.37408E-06	0.000333454	0.000396734	0	0.000390603	1.86119E-06	0.000188678	4.64236E-05	2.51503E-05	3.01195E-05	0	3.12793E-05	0.000249928	0.00010555	0	0.000425545	3.48397E-05	0.000135708	4.62949E-05	0.000464351	2.97085E-06	0.000316145	0.000164423	9.36563E-07	
PWY0.301._L.ascorbate_degradation_I_.bacterial._anaerobic.	0	0.000393593	0.000416823	4.41705E-06	0.000295776	0	6.76822E-07	1.41287E-06	0.000684859	0.000632975	0	0.000433408	2.88242E-07	2.23207E-05	6.48989E-05	2.14097E-06	1.34923E-05	1.30055E-06	4.37698E-05	0.000191593	6.38158E-05	0	0.000584436	2.53482E-05	0.000227299	5.98864E-05	0.000337901	0	5.92563E-07	7.80945E-06	0	
P105.PWY._TCA_cycle_IV_.2.oxoglutarate_decarboxylase.	0	0.0003499	0.000374718	5.11376E-06	0.000242231	8.45553E-06	3.63292E-05	1.16352E-06	0.000328027	0.000358096	0	0.000289888	0	3.84841E-05	1.8092E-06	6.02788E-06	2.09925E-05	1.13742E-06	1.58382E-06	0.000105616	5.90731E-05	0	9.94295E-05	1.03057E-05	0.00014085	4.96297E-05	0.000326494	0	1.61013E-05	1.51382E-05	0	
COBALSYN.PWY._superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I	2.49036E-06	0.000311588	0.000327188	1.39884E-05	0.000232874	3.76177E-06	2.33385E-05	1.10184E-06	0.000304767	0.000304451	0	0.00015078	8.95122E-07	9.31637E-05	3.27838E-05	0.000141095	2.64324E-05	4.26103E-07	1.10741E-05	0.000131986	8.57001E-05	0	0.000319454	0.000097442	0.000344758	0.000105033	0.000287878	0	0.000139143	6.89056E-05	0	
PWY.561._superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation	7.58531E-07	0.000421991	0.000441815	3.64189E-06	0.000318201	1.78247E-06	2.97136E-06	1.9187E-06	0.00046552	0.000472533	4.07413E-07	0.000458208	5.9621E-07	6.00328E-05	2.85989E-06	7.60152E-06	2.27605E-05	1.21522E-06	2.78019E-06	0.000146538	7.22292E-05	0	0.000144101	0.000014537	0.000193624	6.97738E-05	0.000414211	5.71553E-07	1.13934E-05	3.70835E-06	1.38818E-06	
GLYCOLYSIS.E.D._superpathway_of_glycolysis_and_the_Entner.Doudoroff_pathway	4.33826E-06	0.000247168	0.000269372	2.37044E-05	0.000270535	1.47943E-05	5.38896E-05	2.48787E-06	0.000217635	0.000258136	0	0.000424709	3.2229E-06	0.000143482	3.46655E-05	4.66326E-05	4.61682E-05	1.25188E-06	2.71449E-05	0.000146217	0.000178547	0	0.000268118	3.67829E-05	0.000232737	9.09831E-05	0.000249882	1.42285E-06	6.77159E-05	0.000132397	1.39436E-06	
PWY.7115._C4_photosynthetic_carbon_assimilation_cycle._NAD.ME_type	0	0.000251097	0.000267841	6.91514E-06	0.000177832	2.27196E-06	1.63183E-05	0.000001787	0.000225707	0.000245653	7.98659E-06	0.000240293	0	3.89936E-05	3.99635E-05	0.000183007	1.14488E-05	6.38209E-07	2.80051E-05	0.000100428	6.64431E-05	0	0.000356611	1.32967E-05	9.34119E-05	3.90213E-05	0.000270069	3.73652E-06	0.00027289	0.000114999	6.06706E-07	
PWY.6571._dermatan_sulfate_biosynthesis	5.50021E-07	0	0	4.22593E-07	0	3.95161E-07	0	4.11584E-07	0	0	4.92321E-07	0	4.73955E-07	0	2.53336E-07	0	0	4.97056E-07	3.19251E-07	1.45891E-07	0	3.92284E-06	0	3.16894E-07	0	2.53168E-07	0	5.9983E-07	0	0	1.6158E-06	
PWY.6569._chondroitin_sulfate_biosynthesis	5.73359E-07	0	0	4.23497E-07	0	4.109E-07	0	4.38583E-07	0	0	5.44659E-07	0	5.37074E-07	0	3.16185E-07	0	0	5.15456E-07	3.469E-07	1.56493E-07	0	4.13921E-06	0	3.39096E-07	0	3.02381E-07	0	6.41516E-07	0	0	1.85072E-06	
PWY0.1338._polymyxin_resistance	0	0.000163212	0.000167324	3.01222E-06	0.000145562	0	0	6.25087E-07	0.000134464	0.000188318	0	0.000182676	0	1.78654E-05	2.66282E-05	6.5493E-07	7.94974E-06	1.5446E-07	1.00213E-05	6.77824E-05	3.19725E-05	0	0.000225101	7.65177E-06	8.84824E-05	2.91833E-05	0.000151007	0	0.000211862	0	0	
PWY0.1297._superpathway_of_purine_deoxyribonucleosides_degradation	9.78613E-07	0.000317788	0.000335494	2.70065E-05	0.00026805	1.42284E-05	6.52112E-05	1.63113E-06	0.000313541	0.000324209	6.63836E-07	0.000394885	2.7136E-06	0.000172101	6.57616E-05	0.000314378	4.04696E-05	8.38097E-07	0.000035423	0.000193386	0.000129604	0	0.000403992	6.79458E-05	0.000179837	6.32171E-05	0.000335761	1.25531E-05	0.000284609	0.000344558	1.59106E-06	
PWY.5971._palmitate_biosynthesis_.type_II_fatty_acid_synthase.	0	0.000353675	0.000386996	3.59734E-05	0.000350635	0	1.86575E-05	3.58424E-06	0.000244474	0.000126051	0	0.00029382	0	0.000186004	6.86347E-05	0.000282879	7.51733E-05	8.5469E-07	5.72168E-05	0.00019612	0.000193493	0	0.000307809	1.48471E-05	0.000305285	0.000129669	0.000141014	1.04779E-05	0.00014297	0.000434446	1.61659E-06	
HEMESYN2.PWY._heme_b_biosynthesis_II_.oxygen.independent.	3.22121E-07	0.000292794	0.000309948	5.08753E-05	0.000259587	1.83797E-05	8.76183E-05	2.46085E-06	0.000359432	0.000378286	7.10308E-06	0.000421573	1.67339E-06	0.000122638	0.000045855	0.000299272	1.67312E-05	5.7473E-07	3.08619E-05	0.000158733	5.79693E-05	0	0.000363997	1.43439E-05	0.000294683	8.95487E-05	0.000310646	4.06514E-06	0.000199234	0.00032152	9.43991E-07	
PWY6666.2._dopamine_degradation	4.60673E-07	4.29417E-08	0	3.84499E-07	0	3.04555E-07	0	4.68405E-07	0	0	4.47164E-07	0	4.19905E-07	0	1.7271E-07	0	2.75968E-07	1.69855E-07	2.24145E-07	2.77063E-08	0	2.79749E-06	0	2.49827E-07	0	0	0	0	0	0	1.14588E-06	
PYRIDOXSYN.PWY._pyridoxal_5..phosphate_biosynthesis_I	9.40247E-06	0.000247235	0.000267328	1.34676E-05	0.000227162	5.47517E-05	0.000303244	4.14258E-06	0.000235726	0.000284351	0	0.000232818	3.56211E-06	0.000445395	3.30526E-05	4.89044E-05	3.37934E-05	5.18633E-07	2.39763E-05	0.000145197	0.000262076	0	0.000325429	1.12572E-05	0.000158712	9.90248E-05	0.000269879	0	0.000179815	2.52052E-06	7.48492E-07	
