sample	SF10	SF11	SF12	SF13	SF14	SF15	SF16	SF17	SF18	SF19	SF1	SF20	SF21	SF22	SF23	SF24	SF25	SF26	SF27	SF2	SF34	SF35	SF36	SF37	SF3	SF4	SF5	SF6	SF7	SF8	SF9
ARGININE.SYN4.PWY._L.ornithine_biosynthesis_II	0.000121451	2.38E-06	0.000416876	3.08E-06	0.000117447	3.39E-05	1.46E-05	5.55E-05	8.40E-07	2.17E-06	7.31E-06	0.00011509	0.000248347	1.70E-06	4.47E-05	1.83E-05	0.000196588	7.26E-05	0.000146359	0.000174921	4.99E-07	1.14E-06	3.67E-05	1.07E-06	0.000189077	1.73E-05	0.000176774	1.22E-05	6.43E-05	1.82E-06	0.000119159
ARGSYN.PWY._L.arginine_biosynthesis_I_.via_L.ornithine.	0.000484385	1.39E-06	0.000512126	3.94E-06	0.000171615	4.60E-05	0.000454856	8.49E-05	6.79E-07	3.74E-05	1.25E-05	0.000210554	0.000159896	0	0.000430495	8.54E-05	0.000310065	0.000128708	0.000372069	0.000397074	1.06E-05	0.000236161	0.000474924	1.44E-06	0.000410709	5.82E-05	0.000311185	1.88E-05	9.65E-05	2.27E-06	0.000525516
ARGSYNBSUB.PWY._L.arginine_biosynthesis_II_.acetyl_cycle.	0.000461966	1.55E-06	0.000532315	3.78E-06	0.000171064	4.60E-05	0.000440873	8.28E-05	4.86E-07	3.33E-05	8.52E-06	0.00021752	0.000148219	0	0.000425859	8.86E-05	0.000344911	0.000137934	0.000385772	0.000398169	9.76E-06	0.000240237	0.000437452	1.54E-06	0.000413992	4.70E-05	0.000320106	1.94E-05	9.67E-05	2.16E-06	0.00049157
ARO.PWY._chorismate_biosynthesis_I	0.000498055	8.55E-06	0.000359151	5.95E-06	0.000486096	5.03E-05	0.000609498	0.000117046	8.47E-07	3.56E-05	1.81E-05	0.000210556	0.000319954	0	0.000342089	9.09E-05	0.000366356	0.000168415	0.000488288	0.000453984	1.63E-05	0.000270878	0.000637024	0	0.000471307	8.57E-05	0.000349909	7.44E-05	0.000404693	4.38E-06	0.000515392
ASPASN.PWY._superpathway_of_L.aspartate_and_L.asparagine_biosynthesis	0.000550475	8.56E-06	0.000572859	5.25E-06	0.000220503	5.70E-05	0.000356549	9.05E-05	1.99E-06	3.70E-05	8.16E-06	0.000215059	0.000320744	0	0.000637041	3.51E-05	0.00036591	0.000157425	0.00053104	0.000562799	1.28E-05	0.000306807	0.000348418	2.40E-06	0.000584494	4.29E-05	0.000455169	6.14E-05	0.000342137	3.93E-06	0.000517997
AST.PWY._L.arginine_degradation_II_.AST_pathway.	0.000387913	0	0.000228599	2.70E-07	2.62E-05	2.58E-05	1.07E-06	6.15E-06	0	1.72E-05	0	7.88E-05	3.89E-05	0	9.16E-05	8.31E-06	9.33E-05	2.27E-05	0.000399629	0.000388595	0	8.80E-07	0	4.17E-07	0.000412504	1.53E-06	0.000209297	0	0	4.24E-07	0.00035068
BIOTIN.BIOSYNTHESIS.PWY._biotin_biosynthesis_I	0.000374741	8.58E-06	0.00032352	2.25E-06	0.000215513	5.02E-05	0.000256577	6.18E-05	7.35E-07	4.56E-05	1.17E-05	0.000172207	0.00017397	0	0.000418274	1.73E-05	0.000250874	0.000110417	0.000414	0.000376932	2.87E-06	0.000297872	0.000171912	0	0.000396898	2.77E-05	0.000307371	4.93E-06	1.69E-05	2.47E-06	0.000354639
BRANCHED.CHAIN.AA.SYN.PWY._superpathway_of_branched_chain_amino_acid_biosynthesis	0.000546258	9.17E-06	0.000626129	6.67E-06	0.000313291	5.69E-05	0.000606724	0.000122521	1.69E-06	4.04E-05	1.22E-05	0.00032617	0.00037098	0	0.000404809	8.58E-05	0.000511775	0.000198458	0.000479015	0.000483066	2.23E-05	0.000143974	0.000692609	1.64E-06	0.000500864	9.42E-05	0.000503639	2.08E-05	0.000100595	3.55E-06	0.00053972
CALVIN.PWY._Calvin.Benson.Bassham_cycle	0.000749829	1.07E-05	0.000637543	7.18E-06	0.000563472	6.80E-05	0.000429587	0.00011049	3.15E-06	4.62E-05	1.23E-05	0.000316726	0.000332362	0	0.000413565	0.000103549	0.000452059	0.000197341	0.00069826	0.000636116	9.83E-06	0.000222402	0.000404144	4.81E-06	0.000664355	5.18E-05	0.000440266	9.25E-05	0.00051381	7.45E-06	0.000732837
CARNMET.PWY._L.carnitine_degradation_I	8.81E-08	0	1.79E-05	0	6.72E-06	3.27E-05	1.29E-07	7.28E-07	0	1.28E-05	0	2.20E-05	8.04E-06	0	0	0	2.80E-05	7.96E-06	9.41E-07	4.85E-06	0	0	0	0	5.85E-06	0	2.35E-05	0	0	4.82E-07	0
CATECHOL.ORTHO.CLEAVAGE.PWY._catechol_degradation_to_.beta..ketoadipate	0.000150961	0	0	0	0	5.64E-07	1.27E-06	0	0	0	0	1.32E-05	9.07E-06	0	4.65E-05	0	6.39E-06	2.00E-06	0.000161501	0.00014988	0	8.71E-07	1.66E-06	0	0.000159927	1.02E-06	6.39E-05	0	0	0	0.00011978
CENTFERM.PWY._pyruvate_fermentation_to_butanoate	2.16E-06	0	0	1.32E-06	2.10E-05	7.26E-07	1.11E-05	4.82E-06	0	0	1.03E-06	5.61E-06	4.59E-06	0	0	1.72E-05	2.63E-05	1.05E-05	0	0	0	0	1.55E-05	0	0	7.54E-06	0	3.90E-06	1.51E-05	4.65E-07	3.79E-07
CHLOROPHYLL.SYN._3.8.divinyl.chlorophyllide_a_biosynthesis_I_.aerobic._light.dependent.	0	0	0	0	1.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.95E-06	0	0	0	0	0	0	0	0	0	0	5.20E-07	0	0
CITRULBIO.PWY._L.citrulline_biosynthesis	0.000167906	3.18E-06	0.000471756	1.96E-06	7.23E-05	5.45E-05	2.22E-05	6.15E-05	4.06E-07	1.17E-06	1.44E-05	0.000136434	5.68E-05	0	6.29E-05	3.94E-05	0.000259682	8.92E-05	0.000164733	0.000224713	2.05E-06	2.87E-06	5.33E-05	1.89E-06	0.000241165	2.43E-05	0.000210278	1.73E-05	9.25E-05	2.21E-06	0.000163345
COA.PWY.1._superpathway_of_coenzyme_A_biosynthesis_III_.mammals.	0.000236173	8.74E-06	0.000229377	8.52E-06	0.000517688	5.77E-05	0.000576473	0.000108519	7.28E-07	3.89E-05	1.82E-05	0.000175383	0.000282881	0	0.00032422	7.01E-05	0.000324964	0.00015713	0.000217074	0.000206823	1.78E-05	0.000247447	0.000657398	9.58E-07	0.000209457	7.92E-05	0.000224007	7.83E-05	0.000421505	4.10E-06	0.00026455
COA.PWY._coenzyme_A_biosynthesis_I_.prokaryotic.	0.000222393	8.66E-06	0.000209428	1.13E-05	0.000532049	5.38E-05	0.000571337	0.000110891	1.32E-06	3.82E-05	1.87E-05	0.000185381	0.000280121	1.49E-06	0.000297978	6.99E-05	0.000350145	0.000160097	0.000208548	0.000212892	1.80E-05	0.000287813	0.000650267	9.99E-07	0.000211514	7.90E-05	0.000254058	7.64E-05	0.000410206	3.88E-06	0.000252282
COBALSYN.PWY._superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I	0.000304451	0	0.00015078	8.95E-07	9.32E-05	3.28E-05	0.000141095	2.64E-05	4.26E-07	1.11E-05	2.49E-06	0.000131986	8.57E-05	0	0.000319454	9.74E-05	0.000344758	0.000105033	0.000287878	0.000311588	0	0.000139143	6.89E-05	0	0.000327188	1.40E-05	0.000232874	3.76E-06	2.33E-05	1.10E-06	0.000304767
COLANSYN.PWY._colanic_acid_building_blocks_biosynthesis	0.000164714	8.12E-07	0.000322145	3.48E-06	0.000230095	1.29E-05	3.81E-05	4.24E-05	1.09E-06	2.87E-05	2.89E-06	0.000137924	0.000122515	0	4.03E-05	5.02E-05	0.000190972	0.000101101	0.000236708	0.000200261	1.21E-06	4.20E-06	1.46E-06	0	0.000213437	2.32E-05	0.000235124	4.80E-05	0.000268908	3.30E-06	0.000152051
COMPLETE.ARO.PWY._superpathway_of_aromatic_amino_acid_biosynthesis	0.000464565	8.89E-06	0.000381677	5.85E-06	0.00040229	5.20E-05	0.000626059	0.000110923	0	3.72E-05	1.63E-05	0.000212712	0.000305803	0	0.000355156	8.75E-05	0.000380168	0.000167324	0.00048161	0.00042686	1.67E-05	0.000285573	0.00064754	0	0.000447693	7.33E-05	0.000354137	6.74E-05	0.000368046	4.20E-06	0.000477161
CRNFORCAT.PWY._creatinine_degradation_I	0.000103949	0	0	0	0	4.11E-07	0	0	0	0	0	0	0	0	6.63E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.09E-05
DAPLYSINESYN.PWY._L.lysine_biosynthesis_I	0.000388639	8.06E-06	0.000409597	2.07E-06	0.000109952	4.26E-05	0.000266165	4.67E-05	9.82E-07	3.71E-05	4.79E-06	0.000184917	0.000106761	0	0.000363639	3.61E-05	0.000284797	0.000104861	0.000403008	0.000355134	9.01E-06	0.000257203	0.000198974	7.88E-07	0.000369688	1.95E-05	0.000322403	1.27E-05	5.90E-05	2.28E-06	0.000388725
DARABCATK12.PWY._D.arabinose_degradation_I	3.81E-06	0	4.35E-05	0	7.91E-06	2.18E-05	9.91E-07	3.15E-06	8.10E-08	2.02E-05	0	2.95E-05	1.18E-05	0	2.85E-06	4.35E-06	3.83E-05	1.14E-05	2.74E-05	3.93E-05	0	2.07E-07	4.74E-06	0	5.61E-05	4.76E-07	5.55E-05	0	0	3.49E-07	6.55E-06
DENITRIFICATION.PWY._nitrate_reduction_I_.denitrification.	6.09E-07	0	0	0	0	5.35E-07	1.52E-06	0	0	0	0	6.75E-06	1.69E-07	0	1.72E-07	0	1.80E-06	5.18E-07	0	1.21E-07	0	1.07E-06	8.84E-06	0	1.05E-07	9.89E-07	2.70E-06	0	0	0	7.87E-06
DENOVOPURINE2.PWY._superpathway_of_purine_nucleotides_de_novo_biosynthesis_II	0.000183619	8.32E-06	7.04E-05	2.08E-06	9.45E-05	4.78E-05	0.000361684	9.13E-06	0	3.48E-05	0	0.000112726	7.21E-05	0	0.000222971	1.04E-05	0.000235617	9.35E-05	0.000228198	0.00016433	9.29E-06	1.18E-05	0.000193718	0	0.000168179	1.57E-05	0.000203909	0	0	3.07E-06	0.000197933
DHGLUCONATE.PYR.CAT.PWY._glucose_degradation_.oxidative.	0	0	0	0	0	6.20E-07	0	0	0	0	0	0	0	0	0.000162746	0	0	0	8.04E-07	0	0	0	0	0	0	0	1.53E-07	0	0	0	1.57E-07
DTDPRHAMSYN.PWY._dTDP..beta..L.rhamnose_biosynthesis	4.47E-06	1.70E-06	0.000315131	9.41E-06	0.000714607	4.94E-06	0.000276433	0.000196113	8.62E-07	2.06E-05	2.32E-05	0.000132103	0.000660988	0	7.60E-05	7.90E-05	0.000128195	0.000210828	0.000183332	5.61E-05	1.36E-05	7.93E-05	0.000400822	0	5.96E-05	5.48E-05	0.000131296	0.000109284	0.000609106	6.93E-06	2.29E-05
ECASYN.PWY._enterobacterial_common_antigen_biosynthesis	0.000156751	0	8.41E-05	0	1.76E-05	3.48E-05	7.49E-07	4.12E-06	0	3.08E-05	0	7.21E-05	3.79E-05	0	0.000282231	6.63E-06	4.38E-05	1.20E-05	0.000183677	0.00017454	0	0.00020383	0	9.84E-07	0.000177778	1.89E-06	0.000135794	0	0	1.05E-06	0.000143484
FAO.PWY._fatty_acid_.beta..oxidation_I_.generic.	0.000430988	7.78E-07	0.000547061	9.60E-07	6.04E-05	7.81E-05	4.51E-05	1.90E-05	1.53E-06	5.94E-05	7.83E-07	0.000191289	7.53E-05	3.27E-06	0.000784439	2.59E-05	0.00033396	9.43E-05	0.00041648	0.000421199	1.39E-06	0.000462663	0	2.87E-06	0.000432231	5.55E-06	0.00041314	1.36E-06	0	2.22E-06	0.000391939
FASYN.ELONG.PWY._fatty_acid_elongation_.._saturated	0.000413526	9.52E-06	0.000308113	2.76E-06	0.000214617	6.96E-05	0.00031543	7.66E-05	9.05E-07	5.97E-05	1.54E-05	0.000203393	0.000195751	2.69E-06	0.000447065	1.53E-05	0.000327664	0.00014052	0.000450726	0.000427207	1.08E-05	0.000361987	0.000447034	1.96E-06	0.000450339	3.66E-05	0.000376833	6.55E-06	2.12E-05	3.65E-06	0.00035897
FASYN.INITIAL.PWY._superpathway_of_fatty_acid_biosynthesis_initiation_.E._coli.	0	4.80E-07	0	4.61E-07	0	3.22E-07	0	4.91E-07	2.70E-07	3.44E-07	7.77E-07	1.98E-06	7.23E-07	0	0	4.54E-07	5.22E-06	2.48E-06	0	0	9.51E-07	0	0	0	0	0	0	1.51E-06	7.28E-06	3.49E-07	0
FERMENTATION.PWY._mixed_acid_fermentation	0.00047349	8.02E-06	0.000507346	2.05E-06	0.000153052	4.16E-05	0.000251357	3.69E-05	1.54E-06	3.68E-05	1.88E-06	0.000160729	0.00011583	0	0.000404312	1.68E-05	0.000223613	9.09E-05	0.000440685	0.000466867	3.72E-06	0.000241266	0.000118832	2.59E-06	0.000503306	1.16E-05	0.000342103	8.62E-06	3.49E-05	2.91E-06	0.00042658
FOLSYN.PWY._superpathway_of_tetrahydrofolate_biosynthesis_and_salvage	1.24E-05	2.50E-06	0.000167739	6.69E-07	2.28E-05	7.60E-06	0.00036583	1.99E-05	0	1.47E-05	0	0.000113828	0.000105299	0	7.36E-07	3.61E-05	0.000160744	4.33E-05	5.23E-06	6.64E-05	1.49E-05	0.000116334	0.000558431	0	7.18E-05	2.22E-05	0.000132591	2.01E-06	2.03E-05	1.17E-06	7.11E-05
FUC.RHAMCAT.PWY._superpathway_of_fucose_and_rhamnose_degradation	0.000372002	0	0.000332964	6.02E-07	7.28E-05	3.64E-05	1.80E-05	2.79E-05	6.33E-07	2.67E-05	7.94E-07	0.000142508	7.43E-05	0	0.000316899	1.78E-05	0.000167262	6.10E-05	0.000354192	0.00031463	0	3.18E-07	1.20E-05	0	0.000327674	7.98E-06	0.000271456	0	0	1.08E-06	0.00036235
FUCCAT.PWY._fucose_degradation	0.000379894	6.49E-06	0.000381012	4.85E-07	5.46E-05	3.16E-05	4.64E-05	1.91E-05	8.27E-07	2.56E-05	3.72E-07	0.000127305	5.09E-05	0	0.000298663	1.46E-05	0.000140043	5.33E-05	0.000340744	0.000320081	0	5.08E-07	1.45E-05	0	0.000340777	5.30E-06	0.000230776	0	4.55E-07	9.12E-07	0.000398937
GALACT.GLUCUROCAT.PWY._superpathway_of_hexuronide_and_hexuronate_degradation	3.22E-07	0	0.000174087	0	7.25E-05	1.78E-06	1.99E-06	1.99E-05	0	3.87E-06	1.07E-06	7.93E-05	5.37E-05	0	0	1.08E-05	7.80E-05	5.04E-05	1.35E-05	3.71E-05	0	1.74E-06	0	0	4.30E-05	0	8.46E-05	9.76E-07	4.34E-06	4.31E-07	2.53E-07
GALACTARDEG.PWY._D.galactarate_degradation_I	0.000344931	0	0.000519413	8.46E-07	6.86E-05	4.48E-05	2.70E-06	2.06E-05	1.12E-06	2.84E-05	2.41E-07	0.000171096	5.42E-05	0	0.000143864	1.93E-05	0.000295187	8.71E-05	0.00035528	0.000341815	0	1.44E-06	0	1.21E-06	0.000371859	3.31E-06	0.000369398	0	6.08E-07	2.34E-07	0.000373562
GALACTITOLCAT.PWY._galactitol_degradation	3.28E-07	9.93E-08	0.000345899	1.62E-07	3.65E-05	2.33E-07	1.60E-06	1.19E-05	7.78E-07	9.86E-07	3.76E-07	7.19E-05	2.49E-05	0	2.79E-06	1.87E-05	0.000144178	4.31E-05	6.28E-06	3.33E-05	0	0	2.79E-06	0	3.78E-05	7.64E-07	0.000125728	0	0	6.61E-07	0
GALACTUROCAT.PWY._D.galacturonate_degradation_I	1.02E-06	0	0.000149914	3.90E-07	7.37E-05	3.26E-05	3.49E-06	2.45E-05	2.46E-07	1.98E-05	2.69E-06	0.000113723	8.41E-05	0	0.000292949	4.31E-05	0.000127439	5.02E-05	6.48E-05	4.85E-05	0	2.15E-06	0	0	5.59E-05	3.47E-06	0.000126618	1.99E-06	7.48E-06	8.78E-07	1.68E-06
GLCMANNANAUT.PWY._superpathway_of_N.acetylglucosamine._N.acetylmannosamine_and_N.acetylneuraminate_degradation	0.000111283	7.95E-06	0.000362565	1.74E-06	0.000127774	4.29E-05	0.000166489	4.21E-05	9.55E-07	2.25E-05	3.65E-06	0.0001479	0.00013422	0	0.000260977	0.000103074	0.000221745	0.000101392	0.000150663	0.000148147	9.15E-06	0.000162422	0.000283954	1.03E-06	0.000168152	2.42E-05	0.000215837	2.94E-06	1.03E-05	2.07E-06	0.000139332
GLUCARDEG.PWY._D.glucarate_degradation_I	0.0003108	1.66E-07	0.000439648	7.04E-07	2.83E-05	3.65E-05	1.56E-06	1.35E-05	9.09E-07	2.78E-05	0	0.000141555	4.66E-05	0	0.000105535	1.50E-05	0.000150765	4.38E-05	0.000315245	0.000305535	0	9.33E-07	0	1.17E-06	0.000330208	2.85E-06	0.000262128	0	7.78E-07	2.37E-07	0.000331759
GLUCARGALACTSUPER.PWY._superpathway_of_D.glucarate_and_D.galactarate_degradation	0.000344931	0	0.000519413	8.46E-07	6.86E-05	4.48E-05	2.70E-06	2.06E-05	1.12E-06	2.84E-05	2.41E-07	0.000171096	5.42E-05	0	0.000143864	1.93E-05	0.000295187	8.71E-05	0.00035528	0.000341815	0	1.44E-06	0	1.21E-06	0.000371859	3.31E-06	0.000369398	0	6.08E-07	2.34E-07	0.000373562
GLUCONEO.PWY._gluconeogenesis_I	0.000383263	9.64E-06	0.000416994	5.03E-06	0.000286258	5.20E-05	0.000348451	7.43E-05	1.55E-06	3.23E-05	9.97E-06	0.000191766	0.000261945	0	0.000337068	3.49E-05	0.000264049	0.000130141	0.000365323	0.000366414	8.81E-06	0.000208695	0.000293753	3.09E-06	0.000382566	4.20E-05	0.000307998	5.47E-05	0.000305152	4.94E-06	0.000371337
GLUCOSE1PMETAB.PWY._glucose_and_glucose.1.phosphate_degradation	0.000466367	9.73E-07	0.000453683	2.24E-06	0.000111021	5.58E-05	0.000325443	3.42E-05	9.79E-07	5.02E-05	9.28E-07	0.000252424	0.000263648	1.34E-06	0.000325055	3.70E-05	0.00034635	0.000135214	0.000593524	0.000503028	1.78E-05	0.000252918	0.000566591	2.21E-06	0.000532304	5.06E-05	0.000400795	0	0.000291756	3.26E-06	0.000436594
GLUCUROCAT.PWY._superpathway_of_.beta..D.glucuronosides_degradation	3.07E-07	0	0.000174722	4.31E-07	7.38E-05	2.81E-05	2.64E-06	2.95E-05	2.50E-07	1.91E-05	3.03E-06	9.09E-05	5.77E-05	0	0.000266217	1.59E-05	0.000137031	5.51E-05	2.36E-05	4.18E-05	0	6.25E-06	1.05E-05	8.11E-07	4.62E-05	4.26E-06	0.000111496	2.45E-06	1.04E-05	1.05E-06	1.26E-06
GLUDEG.I.PWY._GABA_shunt	9.58E-05	1.68E-07	0	4.29E-07	4.52E-05	9.13E-07	3.55E-06	2.91E-05	4.83E-07	1.75E-06	0	4.54E-05	0.000121341	0	0.000203717	4.01E-07	2.73E-05	4.87E-05	9.65E-05	8.24E-05	2.86E-07	0	3.45E-07	0	9.11E-05	4.19E-06	6.35E-05	1.30E-06	3.76E-06	1.19E-06	0.000110289
GLUTORN.PWY._L.ornithine_biosynthesis_I	0.000415665	3.39E-07	0.000457113	3.16E-06	0.000152852	4.05E-05	0.000304411	7.96E-05	9.13E-07	3.34E-05	1.02E-05	0.000233856	0.000157248	0	0.000457425	7.10E-05	0.000333108	0.000129336	0.000379796	0.000373766	6.65E-06	0.000216231	0.000314292	1.02E-06	0.000379468	3.14E-05	0.000366488	1.43E-05	7.52E-05	1.96E-06	0.000412022
GLYCOCAT.PWY._glycogen_degradation_I	0.000132832	0	0.00015181	0	5.07E-05	3.68E-05	1.30E-05	5.49E-05	3.38E-07	3.08E-05	3.66E-06	0.00011655	4.99E-05	0	0.000143828	7.89E-05	7.56E-05	2.10E-05	0.00017731	0.000187153	1.70E-06	5.99E-06	6.38E-05	0	0.000192991	4.30E-06	0.000171675	4.19E-06	1.98E-05	9.57E-07	0.000219212
GLYCOGENSYNTH.PWY._glycogen_biosynthesis_I_.from_ADP.D.Glucose.	0.000475437	7.38E-06	0.000495453	6.98E-06	0.000242236	4.61E-05	0.000426803	9.11E-05	8.91E-07	3.31E-05	8.99E-06	0.000211654	0.000258201	0	0.000368544	0.000134237	0.000352396	0.000144234	0.000505491	0.000439027	1.92E-05	6.89E-05	0.000517556	1.73E-06	0.000452635	5.15E-05	0.00034129	4.66E-05	0.000247368	3.86E-06	0.000460714
GLYCOL.GLYOXDEG.PWY._superpathway_of_glycol_metabolism_and_degradation	3.81E-06	0	0.000142656	1.18E-07	8.25E-06	2.53E-05	1.22E-06	3.28E-06	5.24E-07	1.74E-05	0	3.11E-05	1.87E-05	0	2.85E-06	4.57E-05	4.09E-05	1.22E-05	2.74E-05	3.86E-05	0	8.45E-07	2.20E-06	0	5.48E-05	4.91E-07	5.64E-05	0	0	3.94E-07	6.55E-06
GLYCOLYSIS.E.D._superpathway_of_glycolysis_and_the_Entner.Doudoroff_pathway	0.000258136	0	0.000424709	3.22E-06	0.000143482	3.47E-05	4.66E-05	4.62E-05	1.25E-06	2.71E-05	4.34E-06	0.000146217	0.000178547	0	0.000268118	3.68E-05	0.000232737	9.10E-05	0.000249882	0.000247168	1.42E-06	6.77E-05	0.000132397	1.39E-06	0.000269372	2.37E-05	0.000270535	1.48E-05	5.39E-05	2.49E-06	0.000217635
GLYCOLYSIS.TCA.GLYOX.BYPASS._superpathway_of_glycolysis._pyruvate_dehydrogenase._TCA._and_glyoxylate_bypass	6.80E-05	0	0.000121905	0	1.57E-05	4.66E-06	2.10E-06	9.84E-06	1.08E-06	4.43E-06	1.12E-06	6.59E-05	3.62E-05	0	0.000143651	3.98E-06	5.04E-05	1.67E-05	0.000103325	9.10E-05	0	0	5.17E-06	0	0.000102616	3.85E-06	0.000141255	2.14E-06	0	1.71E-06	6.14E-05
GLYCOLYSIS._glycolysis_I_.from_glucose_6.phosphate.	0.0004099	9.96E-06	0.000492186	6.93E-06	0.000247322	5.75E-05	0.000439947	7.03E-05	1.80E-06	3.28E-05	1.21E-05	0.000228708	0.000296215	0	0.000315267	6.23E-05	0.000354383	0.000150149	0.000410266	0.000416074	1.32E-05	0.000229862	0.000561071	3.22E-06	0.000439992	6.68E-05	0.000352672	6.64E-05	0.000361146	5.45E-06	0.000372409
GLYOXYLATE.BYPASS._glyoxylate_cycle	0.000446708	6.08E-07	0.000519585	3.94E-07	6.01E-05	3.30E-05	2.22E-05	1.68E-05	9.04E-07	2.70E-05	6.57E-07	0.000143524	7.67E-05	0	0.0003139	1.38E-05	0.000137677	5.04E-05	0.00034393	0.000336778	5.31E-07	8.00E-06	2.58E-06	1.24E-06	0.000347511	3.75E-06	0.000260013	1.62E-06	7.85E-06	1.56E-06	0.000467853
GOLPDLCAT.PWY._superpathway_of_glycerol_degradation_to_1.3.propanediol	0.000645398	0	0	2.01E-07	5.53E-06	7.50E-05	6.60E-06	3.37E-06	0	1.77E-05	0	6.84E-05	4.42E-05	0	8.41E-05	3.56E-06	4.68E-05	1.06E-05	0.000530598	0.000530131	6.44E-07	1.42E-06	4.42E-05	7.55E-07	0.000546962	7.72E-06	0.000232044	0	7.92E-07	6.14E-07	0.000686494
HCAMHPDEG.PWY._3.phenylpropanoate_and_3..3.hydroxyphenyl.propanoate_degradation_to_2.hydroxypentadienoate	0.000188772	0	0.000275159	0	2.26E-05	2.80E-05	8.40E-07	9.17E-06	2.88E-07	1.32E-05	0	0.000206652	6.25E-05	0	4.85E-05	3.46E-05	1.71E-05	3.46E-06	0.000241968	0.000245735	0	0	0	0	0.00027363	6.71E-07	0.000145292	0	0	5.07E-07	0.000163715
