	SF1	SF2	SF3	SF4	SF6	SF7	SF8	SF11	SF12	SF13	SF14	SF17	SF18	SF19	SF20	SF22	SF23	SF24	SF25	SF34	SF35	SF36	SF37
HEME.BIOSYNTHESIS.II._heme_b_biosynthesis_I_.aerobic.	3.51E-07	0.000257698	0.000281945	5.19E-05	1.87E-05	0.000088787	2.46E-06	2.24E-07	0.000419595	1.79E-06	0.000143721	1.45E-05	6.60E-07	3.40E-05	0.000117297	0	0.000292609	1.18E-05	0.000242051	4.35E-06	0.000204046	0.000276469	8.19E-07
PWY0.1298._superpathway_of_pyrimidine_deoxyribonucleosides_degradation	4.60E-07	0.00031991	0.000342428	3.00E-05	9.20E-06	4.65E-05	0.000001471	2.81E-07	0.00031296	2.53E-06	0.000132032	3.05E-05	1.33E-06	3.22E-05	0.000197568	0	0.000311748	5.55E-05	0.000209817	7.23E-06	0.00020819	0.000312502	1.52E-06
PWY.8052._2.arachidonoylglycerol_biosynthesis	4.16E-07	0	0	2.81E-07	3.91E-07	0	0	2.30E-07	0	2.20E-07	0	0	0	0	0	1.63E-06	0	3.93E-07	0	0	0	0	0
REDCITCYC._TCA_cycle_VI_.Helicobacter.	6.28E-07	0.000135974	0.000140745	3.97E-06	3.11E-06	1.18E-05	1.27E-06	0	0.000134407	6.54E-07	2.94E-05	4.50E-06	3.00E-07	1.75E-06	5.65E-05	0	7.85E-05	3.76E-06	3.73E-05	0	1.79E-05	3.76E-05	0
PWY.5918._superpathway_of_heme_b_biosynthesis_from_glutamate	3.92E-07	0.000238317	0.000249031	0.000026776	2.55E-05	0.000127549	2.33E-06	0	0.00039642	1.81E-06	0.000123356	1.68E-05	4.84E-07	0.000028074	0.000129192	0	0.000309663	0.000021525	0.000322093	1.10E-06	0.00017225	5.73E-05	0
GLUCARDEG.PWY._D.glucarate_degradation_I	0	0.000305535	0.000330208	2.85E-06	0	7.78E-07	2.37E-07	1.66E-07	0.000439648	7.04E-07	2.83E-05	1.35E-05	9.09E-07	2.78E-05	0.000141555	0	0.000105535	1.50E-05	0.000150765	0	9.33E-07	0	1.17E-06
PWY.8004._Entner.Doudoroff_pathway_I	6.04E-06	0.000209049	0.000229996	1.86E-05	1.18E-05	4.24E-05	2.13E-06	0	0.000362742	2.77E-06	0.000122943	4.01E-05	1.48E-06	2.47E-05	0.000112535	0	0.00026166	2.21E-05	0.000156523	1.15E-06	0.000209508	0.000107273	1.71E-06
PWY.6305._superpathway_of_putrescine_biosynthesis	7.07E-06	0.000357753	0.000397038	1.35E-05	1.79E-06	1.33E-05	1.67E-06	2.58E-07	0.000504836	1.63E-06	0.000073944	3.09E-05	1.15E-06	2.47E-05	0.00019929	1.07E-06	0.00034008	0.000058819	0.00026925	1.10E-06	0.000166073	2.13E-05	1.84E-06
PWY.6948._sitosterol_degradation_to_androstenedione	4.68E-07	8.14E-08	0	1.36E-06	8.45E-07	0	5.11E-07	7.87E-07	0	5.34E-07	0	6.06E-07	6.98E-07	6.79E-07	2.03E-07	3.91E-06	2.91E-07	4.83E-07	0	9.27E-07	0	0	2.68E-06
PWY.7118._chitin_deacetylation	1.91E-07	0.000309762	0.000331413	5.74E-06	2.18E-06	9.94E-06	1.07E-06	6.83E-07	0.000370791	4.70E-07	0.000036596	1.27E-05	6.67E-07	2.01E-05	0.000197994	0	0.000352828	2.22E-05	0.000133595	6.69E-07	9.03E-06	2.44E-06	4.42E-07
PWY.7315._dTDP.N.acetylthomosamine_biosynthesis	0	0.000246069	0.000249615	1.89E-06	0	0	1.57E-06	0	0.000235304	1.54E-06	0.000111938	8.43E-06	3.65E-07	0.000030846	0.00010832	0	0.000282922	1.43E-05	0.000131533	0	0.00023866	0	1.27E-06
ORNDEG.PWY._superpathway_of_ornithine_degradation	3.83E-07	0.000294402	0.000333614	4.96E-06	0	1.45E-06	8.11E-07	0	0.000544986	7.42E-07	3.95E-05	1.97E-05	8.29E-07	0.000022339	0.000187887	0	0.000347014	3.80E-05	0.000234008	0	3.11E-06	0	6.78E-07
PWY.5189._tetrapyrrole_biosynthesis_II_.from_glycine.	2.46E-07	0.000182259	0.000184713	1.49E-05	3.07E-05	0.000158929	2.29E-06	6.81E-07	0.000346771	1.15E-06	9.74E-05	1.23E-05	5.71E-07	2.27E-05	0.000112064	0	0.000300498	0.000027481	0.000352822	6.11E-07	1.32E-05	2.57E-05	5.23E-07
PWY.6507._4.deoxy.L.threo.hex.4.enopyranuronate_degradation	2.39E-06	0.000032142	3.73E-05	6.04E-06	2.00E-06	1.02E-05	8.84E-07	0	0.000130992	9.58E-07	6.14E-05	0.000026821	2.02E-07	2.21E-05	0.000103854	0	0.000224407	2.76E-05	0.000123302	0	0.000235744	5.23E-06	8.31E-07
GLYOXYLATE.BYPASS._glyoxylate_cycle	6.57E-07	0.000336778	0.000347511	3.75E-06	1.62E-06	7.85E-06	1.56E-06	6.08E-07	0.000519585	3.94E-07	6.01E-05	1.68E-05	9.04E-07	2.70E-05	0.000143524	0	0.0003139	1.38E-05	0.000137677	5.31E-07	8.00E-06	2.58E-06	1.24E-06
PWY.821._superpathway_of_sulfur_amino_acid_biosynthesis_.Saccharomyces_cerevisiae.	0	7.68E-06	1.29E-06	1.31E-05	1.73E-06	5.64E-06	1.61E-06	9.99E-07	0	1.07E-06	5.37E-05	2.37E-05	0	9.76E-06	8.01E-05	0	0	4.54E-06	9.31E-05	1.21E-06	0	5.80E-06	0
PWY.5913._partial_TCA_cycle_.obligate_autotrophs.	4.14E-07	0.000490569	0.000516327	1.09E-05	4.07E-06	1.78E-05	1.71E-06	2.84E-06	0.000547578	1.14E-06	5.64E-05	2.07E-05	7.80E-07	3.37E-05	0.000210807	0	0.000362037	3.80E-05	0.000264448	2.00E-06	7.94E-05	0.000133226	1.21E-06
PWY.6895._superpathway_of_thiamine_diphosphate_biosynthesis_II	0	0.000236789	0.000251936	1.32E-05	1.90E-05	0.000123461	2.90E-06	0	0.000327733	0	0.00011631	0.000064295	8.29E-07	2.79E-05	0.000180526	0	0.000244684	3.68E-05	0.000189371	0	0.000125638	1.06E-05	0
PWY.7242._D.fructuronate_degradation	2.40E-06	3.69E-05	4.26E-05	3.19E-06	2.16E-06	1.11E-05	1.00E-06	0	0.000136531	3.60E-07	6.11E-05	2.58E-05	2.05E-07	2.01E-05	0.000106516	0	0.000270693	2.07E-05	0.000128886	0	0.000241996	9.82E-06	8.31E-07
GALACTARDEG.PWY._D.galactarate_degradation_I	2.41E-07	0.000341815	0.000371859	3.31E-06	0	6.08E-07	2.34E-07	0	0.000519413	8.46E-07	6.86E-05	2.06E-05	1.12E-06	2.84E-05	0.000171096	0	0.000143864	1.93E-05	0.000295187	0	1.44E-06	0	1.21E-06
GLUCARGALACTSUPER.PWY._superpathway_of_D.glucarate_and_D.galactarate_degradation	2.41E-07	0.000341815	0.000371859	3.31E-06	0	6.08E-07	2.34E-07	0	0.000519413	8.46E-07	6.86E-05	2.06E-05	1.12E-06	2.84E-05	0.000171096	0	0.000143864	1.93E-05	0.000295187	0	1.44E-06	0	1.21E-06
ECASYN.PWY._enterobacterial_common_antigen_biosynthesis	0	0.00017454	0.000177778	1.89E-06	0	0	1.05E-06	0	8.41E-05	0	1.76E-05	4.12E-06	0	0.000030846	7.21E-05	0	0.000282231	6.63E-06	4.38E-05	0	0.00020383	0	9.84E-07
PWY.6293._superpathway_of_L.cysteine_biosynthesis_.fungi.	0	5.20E-06	9.17E-07	2.59E-06	0	0	1.56E-07	0	0	0	2.01E-05	8.50E-06	0	7.80E-07	3.41E-05	0	0	3.53E-06	2.73E-05	0	3.06E-06	6.02E-06	0
PWY.6557._glycosaminoglycan.protein_linkage_region_biosynthesis	5.62E-07	0	0	2.66E-07	4.07E-07	0	3.06E-07	6.62E-07	0	6.71E-07	0	0	3.61E-07	2.53E-07	1.67E-07	4.78E-06	0	2.39E-07	0	4.72E-07	0	0	2.07E-06
PWY0.1061._superpathway_of_L.alanine_biosynthesis	0	0.000235367	0.000249778	5.06E-06	1.56E-06	1.21E-05	2.10E-06	6.60E-06	0.000257566	0	3.45E-05	9.50E-06	8.78E-07	4.16E-05	0.000112007	0	0.000393691	0.000013496	0.00013682	3.43E-06	0.000102849	0.000153984	1.69E-06
PWY.6478._GDP.D.glycero..alpha..D.manno.heptose_biosynthesis	0	0	0	1.19E-06	3.03E-07	2.44E-06	6.33E-07	0	0	1.00E-06	4.86E-05	1.51E-06	0	1.31E-06	9.50E-07	0	0	0	2.39E-06	0	0	0	0
PWY.5920._superpathway_of_heme_b_biosynthesis_from_glycine	2.71E-07	0.000139053	0.000138602	4.71E-06	1.24E-06	7.05E-07	1.47E-06	0	0.000250829	7.56E-07	7.86E-05	6.67E-06	5.05E-07	2.66E-05	9.31E-05	0	0.000294409	9.90E-07	0.000230371	6.84E-07	2.48E-05	1.26E-05	4.75E-07
PWY.6358._superpathway_of_D.myo.inositol_.1.4.5..trisphosphate_metabolism	3.98E-07	0	0	0	3.21E-07	0	0	5.24E-07	0	3.42E-07	0	0	2.82E-07	1.21E-07	7.57E-08	3.04E-06	0	2.79E-07	0	2.90E-07	0	0	1.37E-06
PWY.6608._guanosine_nucleotides_degradation_III	4.98E-06	0.000409762	0.000423013	2.17E-05	6.94E-05	0.000366726	3.80E-06	2.02E-06	0.000708368	2.04E-06	0.000122253	6.55E-05	2.34E-06	3.05E-06	0.000217752	0	0.000753758	9.91E-05	0.00038012	3.80E-07	0.000265956	0.000054836	0
PWY66.374._C20_prostanoid_biosynthesis	0	0	0	0	2.51E-07	0	0	3.08E-07	0	1.24E-07	0	0	0	1.71E-07	0	1.34E-06	0	9.29E-08	0	4.12E-07	0	0	1.07E-06
PWY.7511._protein_ubiquitination	1.69E-07	0	0	3.94E-07	3.14E-07	0	3.90E-07	3.43E-07	0	3.70E-07	0	1.47E-07	1.80E-07	3.27E-07	1.15E-07	3.84E-06	0	8.87E-08	0	1.18E-07	0	0	1.44E-06
PWY0.845._superpathway_of_pyridoxal_5..phosphate_biosynthesis_and_salvage	8.10E-06	0.000274094	0.000294649	1.87E-05	2.22E-05	0.000104031	3.34E-06	0	0.000279629	3.87E-06	0.00028485	3.66E-05	0	0.000029459	0.000138773	0	0.00029898	1.65E-05	0.000206373	0	0.000189977	5.80E-06	0
FERMENTATION.PWY._mixed_acid_fermentation	1.88E-06	0.000466867	0.000503306	1.16E-05	8.62E-06	3.49E-05	0.000002911	8.02E-06	0.000507346	2.05E-06	0.000153052	3.69E-05	1.54E-06	3.68E-05	0.000160729	0	0.000404312	1.68E-05	0.000223613	3.72E-06	0.000241266	0.000118832	2.59E-06
P161.PWY._acetylene_degradation_.anaerobic.	3.64E-07	0.00041574	0.000462176	6.80E-06	2.34E-05	0.000129683	2.37E-06	0	0.000390603	1.86E-06	0.000188678	3.01E-05	0	3.13E-05	0.000249928	0	0.000425545	3.48E-05	0.000135708	2.97E-06	0.000316145	0.000164423	9.37E-07
PWY0.301._L.ascorbate_degradation_I_.bacterial._anaerobic.	0	0.000393593	0.000416823	4.42E-06	0	6.77E-07	1.41E-06	0	0.000433408	2.88E-07	2.23E-05	1.35E-05	1.30E-06	4.38E-05	0.000191593	0	0.000584436	2.53E-05	0.000227299	0	5.93E-07	7.81E-06	0
P105.PWY._TCA_cycle_IV_.2.oxoglutarate_decarboxylase.	0	0.0003499	0.000374718	5.11E-06	8.46E-06	3.63E-05	1.16E-06	0	0.000289888	0	3.85E-05	2.10E-05	1.14E-06	1.58E-06	0.000105616	0	9.94E-05	1.03E-05	0.00014085	0	1.61E-05	1.51E-05	0
COBALSYN.PWY._superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I	2.49E-06	0.000311588	0.000327188	1.40E-05	3.76E-06	2.33E-05	1.10E-06	0	0.00015078	8.95E-07	9.32E-05	2.64E-05	4.26E-07	1.11E-05	0.000131986	0	0.000319454	0.000097442	0.000344758	0	0.000139143	6.89E-05	0
PWY.561._superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation	7.59E-07	0.000421991	0.000441815	3.64E-06	1.78E-06	2.97E-06	1.92E-06	4.07E-07	0.000458208	5.96E-07	6.00E-05	2.28E-05	1.22E-06	2.78E-06	0.000146538	0	0.000144101	0.000014537	0.000193624	5.72E-07	1.14E-05	3.71E-06	1.39E-06
GLYCOLYSIS.E.D._superpathway_of_glycolysis_and_the_Entner.Doudoroff_pathway	4.34E-06	0.000247168	0.000269372	2.37E-05	1.48E-05	5.39E-05	2.49E-06	0	0.000424709	3.22E-06	0.000143482	4.62E-05	1.25E-06	2.71E-05	0.000146217	0	0.000268118	3.68E-05	0.000232737	1.42E-06	6.77E-05	0.000132397	1.39E-06
PWY.7115._C4_photosynthetic_carbon_assimilation_cycle._NAD.ME_type	0	0.000251097	0.000267841	6.92E-06	2.27E-06	1.63E-05	0.000001787	7.99E-06	0.000240293	0	3.90E-05	1.14E-05	6.38E-07	2.80E-05	0.000100428	0	0.000356611	1.33E-05	9.34E-05	3.74E-06	0.00027289	0.000114999	6.07E-07
PWY.6571._dermatan_sulfate_biosynthesis	5.50E-07	0	0	4.23E-07	3.95E-07	0	4.12E-07	4.92E-07	0	4.74E-07	0	0	4.97E-07	3.19E-07	1.46E-07	3.92E-06	0	3.17E-07	0	6.00E-07	0	0	1.62E-06
PWY.6569._chondroitin_sulfate_biosynthesis	5.73E-07	0	0	4.23E-07	4.11E-07	0	4.39E-07	5.45E-07	0	5.37E-07	0	0	5.15E-07	3.47E-07	1.56E-07	4.14E-06	0	3.39E-07	0	6.42E-07	0	0	1.85E-06
PWY0.1338._polymyxin_resistance	0	0.000163212	0.000167324	3.01E-06	0	0	6.25E-07	0	0.000182676	0	1.79E-05	7.95E-06	1.54E-07	1.00E-05	6.78E-05	0	0.000225101	7.65E-06	8.85E-05	0	0.000211862	0	0
PWY0.1297._superpathway_of_purine_deoxyribonucleosides_degradation	9.79E-07	0.000317788	0.000335494	2.70E-05	1.42E-05	6.52E-05	1.63E-06	6.64E-07	0.000394885	2.71E-06	0.000172101	4.05E-05	8.38E-07	0.000035423	0.000193386	0	0.000403992	6.79E-05	0.000179837	1.26E-05	0.000284609	0.000344558	1.59E-06
PWY.5971._palmitate_biosynthesis_.type_II_fatty_acid_synthase.	0	0.000353675	0.000386996	3.60E-05	0	1.87E-05	3.58E-06	0	0.00029382	0	0.000186004	7.52E-05	8.55E-07	5.72E-05	0.00019612	0	0.000307809	1.48E-05	0.000305285	1.05E-05	0.00014297	0.000434446	1.62E-06
HEMESYN2.PWY._heme_b_biosynthesis_II_.oxygen.independent.	3.22E-07	0.000292794	0.000309948	5.09E-05	1.84E-05	8.76E-05	2.46E-06	7.10E-06	0.000421573	1.67E-06	0.000122638	1.67E-05	5.75E-07	3.09E-05	0.000158733	0	0.000363997	1.43E-05	0.000294683	4.07E-06	0.000199234	0.00032152	9.44E-07
PWY6666.2._dopamine_degradation	4.61E-07	4.29E-08	0	3.84E-07	3.05E-07	0	4.68E-07	4.47E-07	0	4.20E-07	0	2.76E-07	1.70E-07	2.24E-07	2.77E-08	2.80E-06	0	2.50E-07	0	0	0	0	1.15E-06
PYRIDOXSYN.PWY._pyridoxal_5..phosphate_biosynthesis_I	9.40E-06	0.000247235	0.000267328	1.35E-05	5.48E-05	0.000303244	4.14E-06	0	0.000232818	3.56E-06	0.000445395	3.38E-05	5.19E-07	2.40E-05	0.000145197	0	0.000325429	1.13E-05	0.000158712	0	0.000179815	2.52E-06	7.48E-07
P461.PWY._hexitol_fermentation_to_lactate._formate._ethanol_and_acetate	8.79E-07	0.000435716	0.000459725	1.77E-05	9.76E-07	3.81E-06	2.08E-06	5.01E-07	0.000641359	3.12E-06	7.95E-05	4.71E-05	1.03E-06	4.07E-05	0.000204266	0	0.000253961	4.73E-05	0.000315689	3.87E-06	2.38E-05	0.000171894	2.69E-06
PWY.5104._L.isoleucine_biosynthesis_IV	0	0	1.50E-07	1.08E-06	0	0	1.78E-06	0	0	5.38E-07	4.68E-05	2.87E-05	0	0	7.09E-06	0	0	9.23E-07	2.39E-05	0	0	0	0
PWY.6961._L.ascorbate_degradation_II_.bacterial._aerobic.	0	5.51E-05	6.50E-05	1.30E-06	0	6.34E-07	6.18E-07	0	0.000363917	3.30E-07	2.47E-05	1.24E-05	9.68E-07	2.40E-05	0.00014754	0	0.000489474	1.88E-05	0.000205825	0	4.36E-07	0	0
PWY.5840._superpathway_of_menaquinol.7_biosynthesis	0	0.000269117	0.000280152	2.14E-05	0	5.58E-06	2.79E-06	0	0.000229462	1.78E-06	0.000119102	2.08E-05	0	2.80E-05	0.000102396	0	0.000292219	1.69E-05	0.000155248	2.95E-06	2.20E-05	0.000125319	0
PWY.6564._heparan_sulfate_biosynthesis	2.93E-07	0	0	0	3.12E-07	0	2.87E-07	2.75E-07	0	0	0	0	3.37E-07	1.88E-07	8.76E-08	3.64E-06	0	1.37E-07	0	3.46E-07	0	0	1.14E-06
PWY.6922._L.N.delta..acetylornithine_biosynthesis	2.81E-06	0	0	6.30E-06	2.01E-06	0	0	0	0	1.25E-06	2.31E-05	3.45E-07	0	5.91E-07	1.86E-05	0	0.000008329	3.00E-06	2.58E-05	0	1.07E-06	2.13E-05	0
PWY4LZ.257._superpathway_of_fermentation_.Chlamydomonas_reinhardtii.	4.65E-07	0.000304276	0.000334125	8.26E-06	8.42E-07	1.77E-05	1.83E-06	0	0.000499785	1.40E-06	0.000121036	3.13E-05	0	8.55E-06	0.000138236	0	0.000391621	0.000021558	0.000152583	2.14E-06	7.01E-06	0.000141364	1.11E-06
PWY66.389._phytol_degradation	7.54E-07	0.000256224	0.00028078	4.38E-06	1.15E-05	5.29E-05	7.04E-07	2.34E-06	9.91E-06	1.27E-06	7.25E-06	5.80E-06	8.46E-07	9.76E-07	5.50E-05	2.45E-06	0.000467059	7.13E-06	1.57E-05	1.99E-06	0.000252725	6.17E-05	1.59E-06
PWY.6969._TCA_cycle_V_.2.oxoglutarate_synthase.	3.09E-06	0.000354694	0.000381835	8.71E-06	3.25E-05	0.000178311	3.73E-06	1.73E-06	0.000325532	3.37E-06	0.000302369	0.000025871	1.09E-06	1.80E-06	0.000114483	0	9.96E-05	1.12E-05	0.000166595	1.18E-06	5.18E-05	4.88E-05	2.07E-06
PWY.5723._Rubisco_shunt	0	0.000445339	0.000460413	3.05E-05	0	0	2.71E-06	8.29E-07	0.000554164	1.31E-06	7.60E-05	0.000028278	7.17E-07	3.88E-05	0.000216431	0	0.000433749	4.18E-05	0.000397686	0	4.06E-05	1.94E-05	7.92E-07
P441.PWY._superpathway_of_N.acetylneuraminate_degradation	1.37E-06	0.00026789	0.00029492	2.40E-05	7.66E-06	2.72E-05	3.24E-06	0	0.000415766	3.00E-06	0.000192396	4.91E-05	1.14E-06	3.01E-05	0.00019999	0	0.000338197	4.83E-05	0.00026918	1.02E-05	0.000109655	0.000311004	1.55E-06
PWY.7117._C4_photosynthetic_carbon_assimilation_cycle._PEPCK_type	0	0.000593295	0.000620967	3.30E-05	8.64E-06	4.17E-05	2.15E-06	9.87E-06	0.000449222	3.00E-06	8.02E-05	2.92E-05	9.27E-07	3.77E-05	0.000250026	0	0.000445731	3.76E-05	0.000253733	1.20E-05	0.000340159	0.000398306	1.55E-06
PWY.6309._L.tryptophan_degradation_XI_.mammalian._via_kynurenine.	3.08E-07	0	0	2.97E-07	1.08E-07	0	2.11E-07	1.18E-07	0	1.27E-07	0	8.66E-08	1.65E-07	1.70E-07	8.54E-08	1.64E-06	0	1.04E-07	0	2.21E-07	0	8.40E-07	7.23E-07
PWY.7316._dTDP.N.acetylviosamine_biosynthesis	1.30E-06	0	0	0	1.22E-06	5.22E-06	9.55E-07	0	0	2.16E-06	8.00E-05	3.54E-07	0	2.41E-06	2.81E-05	0	0	0	1.08E-05	0	0	0	0
PWY.7831._ABH_and_Lewis_epitopes_biosynthesis_from_type_2_precursor_disaccharide	1.49E-06	0	0	0	7.52E-07	0	5.97E-07	1.02E-06	0	6.75E-07	0	4.94E-07	7.48E-07	5.73E-07	2.89E-07	7.37E-06	0	9.62E-07	0	0	0	0	4.35E-06
PWY.5675._nitrate_reduction_V_.assimilatory.	3.00E-07	0.00019312	0.000213597	7.04E-06	0	7.26E-07	1.08E-06	7.03E-07	0.000414844	3.36E-07	4.05E-05	2.79E-05	2.01E-06	2.05E-05	0.000154844	0	0.000378354	0.000034399	0.00014677	0	2.82E-06	6.82E-05	0
GLYCOL.GLYOXDEG.PWY._superpathway_of_glycol_metabolism_and_degradation	0	3.86E-05	5.48E-05	4.91E-07	0	0	3.94E-07	0	0.000142656	1.18E-07	8.25E-06	3.28E-06	5.24E-07	1.74E-05	0.000031131	0	2.85E-06	4.57E-05	4.09E-05	0	8.45E-07	2.20E-06	0
PWY.7434._terminal_O.glycans_residues_modification_.via_type_2_precursor_disaccharide.	2.58E-06	9.58E-08	0	3.84E-06	1.75E-06	0	1.46E-06	2.00E-06	0	1.52E-06	0	7.43E-07	2.43E-06	1.10E-06	6.22E-07	1.54E-05	4.43E-08	8.23E-07	0	5.68E-06	5.05E-06	1.89E-05	7.41E-06
PWY.8182._valproate_.beta..oxidation	3.68E-07	0	0	9.82E-07	8.29E-07	0	4.42E-07	7.47E-07	0	0	0	0	0	0	0	1.91E-06	0	0	0	0	0	0	1.46E-06
POLYISOPRENSYN.PWY._polyisoprenoid_biosynthesis_.E._coli.	2.62E-06	0.000267544	0.000278879	2.70E-05	5.42E-06	2.86E-05	1.11E-06	1.06E-06	0.000314352	1.79E-06	6.00E-05	3.48E-05	7.10E-07	2.20E-05	0.00012372	0	0.000348219	1.96E-05	0.000178341	9.07E-06	0.000207472	0.000215321	1.13E-06
PWY.5897._superpathway_of_menaquinol.11_biosynthesis	4.06E-06	0.000287714	0.000301596	3.20E-05	0	4.90E-06	2.91E-06	9.37E-07	0.000385476	1.74E-06	0.000110637	3.15E-05	5.06E-07	2.94E-05	0.000143252	0	0.000294607	1.73E-05	0.000216826	3.04E-06	0.000185479	0.000165327	0
PWY.5898._superpathway_of_menaquinol.12_biosynthesis	4.06E-06	0.000287714	0.000301596	3.20E-05	0	4.90E-06	2.91E-06	9.37E-07	0.000385476	1.74E-06	0.000110637	3.15E-05	5.06E-07	2.94E-05	0.000143252	0	0.000294607	1.73E-05	0.000216826	3.04E-06	0.000185479	0.000165327	0
PWY.5899._superpathway_of_menaquinol.13_biosynthesis	4.06E-06	0.000287714	0.000301596	3.20E-05	0	4.90E-06	2.91E-06	9.37E-07	0.000385476	1.74E-06	0.000110637	3.15E-05	5.06E-07	2.94E-05	0.000143252	0	0.000294607	1.73E-05	0.000216826	3.04E-06	0.000185479	0.000165327	0
PWY.7013._.S..propane.1.2.diol_degradation	0	0.000860484	0.000922981	1.13E-05	0	0	1.76E-06	0	0	0	9.40E-06	3.59E-06	0	3.98E-05	0.000164934	0	0.000177676	7.24E-07	0.00013016	5.46E-07	5.92E-07	3.18E-05	2.75E-06
